RG,SG,Series,Barcode,Date,Caption,General Description,Item,Ordered By,Owber,Colored,Height,Width,Pub/Printer,Condition
3840,000,006,,10/27/1898,"Trustee's sale of valuable real estate situated in West Dover Hundred, Kent County","Farm on public road from Dover to Day's Bridges, adjoining lands of Margaret B. Burchenal, John D. Voshell, etc. 32 acres and 36 square perches",Farm,Orphans' Court,Thomas S. Moore,FALSE,"21""","14 1/2""",,Fair
3840,000,006,,03/24/1885,"Executors sale of valuable real estate situated in Mispillion Hundred, Kent County Delaware","Farm adjoining John Booth, Alexander Harrington, William H. Masten - three hundred and sixty eight acres; two tenant houses dwelling, one two-story dwelling, barn, stable,  and out buildings. Land in Town of Harrington, ten acres with improvements. 2 copies",Farm and land in Harrington,Orphans' Court,William Ward,FALSE,"19 1/2""","13 1/2""","James Kirk and Son, Printers #17,19921",Poor
1325,000,231,508332,01/24/1881,"For sale - a splendid farm in Somerset County, Maryland",Farm containing 357 1/2 acres; 250 acres in farm land and balance is woodland. Frame buildings,Farm,,,FALSE,"20 3/4""","14""",Middleton Transcript,Fair
1325,000,231,508332,01/10/1877,"For sale, a fine small fruit farm in Somerset County, Maryland","In Somerset County, Maryland 100 acres with 300 apple trees - overlooking the Pocomoke River Price: $7,000.",Small fruit farm,,,FALSE,"12""","9 3/8""",Middleton Transcript,Poor
2840,000,039,507734,05/18/1852,By virtue of an order of the Orphans' Court of the State of Delaware for New Castle County,"Farm or tract of land in Appoquinimink Hundred, Cantrell's Bridge to Blackbird - two hundred and thirteen acres more or less with two storied stone and brick house, meat house, crop cribs and stable. To be sold at Hotel in Blackbird.",Farm and dwellings,Orphan's Court,John Lynam,FALSE,"13 1/2""","12""",J. Chandler,Fair
1325,000,231,508332,11/04/1858,Vendue - Public sale of personal property,"For sale  - live stock, Dearborn, vegetables, farm equipment, household furniture, stove and fixtures",Personal Property,,George W. Hallmell,TRUE,"9 1/2""","11""",Reporter Job Printing Establishment,Good
1325,000,231,508326,09/27/1871,"For sale - at the Peach Blossom Farm, near Kingston Station, Somerset County, Maryland","50,000 Canover Colossal Asparagus Plants at $20.00 per 1,000, and for 5,000 plants upwards $15.00 per 1,000.  200,000 Imperial Asparagus Plants at $7.00 per 1,000, and for 5,000 plants and upward $5.00 per 1,000",Asparagus Plants,,John McNally,FALSE,"19""","12""",,Good
3840,000,006,,11/06/1886,"Trustee's sale of valuable real estate situated in West Dover Hundred, Kent County Delaware","Parcel of land on Public road leading from Willow Grove to Hazlettsville, adjoining lands of David D. Marvel 57 Acres and 54 Perches Woodland adjoining John M. Waldman, David D. Marvel 7 acres and 89 Perches. 3 copies",Parcel of land and woodland,Orphans' Court,William Bedwell,FALSE,"20 1/4""","14""",James Kirk and Son,Fair
3840,000,006,,11/10/1884,"Administrator's sale of valuable real estate situated in Duck Creek Hundred, Kent County, Delaware","Piece of ground situated on Commerce Street, Town of Smyrna, adjoining lands of Caleb Jones, 2 small 1 story dwellings. 5 copies",piece of ground and 2 dwellings,Orphans' Court,Alexander Jackson,FALSE,"18 1/2""","13 3/4""",James Kirk and Son,Poor
1325,000,231,508332,10/20/1944,In Bankruptcy - Trustee's Sale of Valuable Personal Property,Personal Property - Accounts Receivable of the value to wit $457.82,Personal Property,"Charles W. Cullen, referee in Bankruptcy",Vaughn C. Warren,FALSE,"19""","12 1/2""",,Good
1325,000,231,508332,11/04/1948,Public Sale of Valuable Personal Property,"Personal Property including 1938 Studebaker state Commander, household, furnishings, kitchen items, garden tools",Personal Property,Executors of Annie M. Pollett,Annie M. Pollett,FALSE,"18""","12""",,Fair
1325,000,231,508326,,Henlopen Stock Farm,"Description of a thoroughbred with engraving of Horse for Sale, 5 copies",Horses,,,FALSE,"22 1/2""","14 1/2""",,Good
1325,000,231,508329,01/12/1942,Proclamation,"Court of Oyer and Terminer to hear and determine in indictments and presentments made or taken for or concerning treason's, murders, rapes of women, etc. be held at Dover in the County of Kent on Monday February 23, 1942",,,,FALSE,"17 1/4""","12 1/2""",,Good
1325,000,231,508329,09/08/1942,Proclamation,"Court of Oyer and Terminer to hear and determine indictments and presentments made or taken for or concerning treason's, murders, rapes of women, etc. be held at Dover in the County of Kent on Monday October 26, 1942",,,,FALSE,"17""","12 1/2""",,Good
1325,000,231,508329,03/25/1948,Proclamation,"Court of Oyer and Terminer to hear and determine in indictments and presentments made or taken for or concerning treason's, murders, rapes of women, etc. be held at Dover in the County of Kent on Monday April 26, 1948",,,,FALSE,"18""","12 1/2""",,Good
1325,000,231,,01/23/1948,Proclamation,"Court of Oyer and Terminer to hear and determine in indictments and presentments made or taken for or concerning treason's, murders, rapes of women, etc. be held at Dover in the County of Kent on Monday February 23, 1948",,,,FALSE,"18""","12 1/2""",,Good
1325,000,231,508329,06/18/1848,Proclamation,"Court of Oyer and Terminer to hear and determine in indictments and presentments made or taken for or concerning treason's, murders, rapes of women, etc. be held at Dover in the County of Kent on Monday July 12, 1948",,,,FALSE,"18""","12 1/2""",,Good
1325,000,231,508330,07/19/1949,Proclamation,"The referendum in and for Kent County will be held in several Election Districts, between 7 and 7:30 in the morning and until 6:00 in the afternoon. Do you favor the Immediate Payment of a Cash Bonus to Veterans of World War ""2"" by the State of Delaware",,,,FALSE,"19""","12 1/2""",,Good
3840,000,006,,06/30/1936,Administrator's Sale of Valuable Real Estate,"Farm in West Dover Hundred, adjoining land now or formerly of Draper Voshell, 148 acres and 84 square perches. Improvements include house with back buildings, barn, stable, carriage house and other out buildings.",Far,Orphans' Court,John T. Lindale,FALSE,"19""","12 1/2""",,Fair
3840,000,006,,08/07/1948,Trustee's Sale of Valuable Real Estate,"Land in south Murderkill Hundred on Southerly side of road from Hollandsville Schoolhouse to Kemp's Crossroads, adjoining lands of Benjamin Hurd, William Carpenter and Horace Good. 41 acres.",Land,Orphans' Court,Alexander Cooper,FALSE,"19""","12 1/2""",,Good
1325,000,006,508332,05/22/1948,"Executor's Sale of Residence on Bradford Street in Dover, Delaware","Residence property on west side of Bradford Street in Dover, adjoining lands of Frank Ardito and E. C. Lattomus Inc. and five doors from Loockerman Street","Residence on Bradford Street, Dover",Executors,Sallie M. Richard,FALSE,"19""","12 1/2""",,Good
1325,000,231,508332,04/02/1949,Public Sale of School Properties,Sale of school buildings not being used. Willow Grove School Building used as School #52; Westville School Building used as School #69; Pratts' School Building used as School #59,School Properties,State Consolidated School District Number 1,,FALSE,"19""","12 1/2""",,Good
1325,000,231,508332,10/10/1964,Public Auction of Valuable Real Estate,"Land on West side of New Street, North of Loockerman Street adjoining F. J. A. E. Callaway, Patrick Lyons, George P. Jarrell, Manlove Hayes",Land in Dover,,"Mrs. John E. Behen, Sr. and John E. Behen, Jr.",FALSE,"18 1/2""","12 1/4""",,Good
1325,000,231,508332,11/16/1940,Sheriff's Sale of Valuable Real Estate,"1. Land in or near Harrington on road from Harrington to Burrsville, bound by public road and land of Horace E. Quillen. Garage and service station.  2. Land in or near Harrington, bound by lands of Horace E. Quillen parcel #1, William I. Masters",2 Parcel of Land,Writ of Ti Fa Att. D. S. B.,Frederick Lawrence and Alice C. Price,FALSE,"19""","12 1/2""",,Fair
3840,000,006,,11/04/1887,Administratrix's sale of valuable Real Estate consisting of Town Lots in the Town of Smyrna.,24 properties located in Smyrna (5 Copies),24 properties in Smyrna,Orphans' Court,Eben M. Cloak,FALSE,"27""","14""",James Kirk and Son,Fair
3840,000,006,,11/06/1886,"Administrator's sale of valuable Real Estate situated in North Murderkill Hundred, Kent County","Farm - 13 acres and 60 perches on north side of public road from Camden to Almshouse, adjoining lands of Rich Abell Allahand, D. P. Richards, Thomas Jackson and others dwelling and out buildings. (15 Copies)",Farm,Orphans' Court,Matilda P. Abbott,FALSE,"20.25""","14""",James Kirk and Son,Fair
3840,000,006,,10/26/1887,"Administrator's sale of very desirable Real Estate situated in Kenton Hundred, Kent County","99 acres and 110 sq. perches of land - farm adjoining A. Price Griffith and Sarah Cummins, with improvements as 2-story brick dwelling, 2-story tenant house, barn, stables and other out buildings. 1,000 peach trees, small apple and pear orchard and grapes and berries (7 copies)",Farm,Orphans' Court,Benjamin D. Burrows,FALSE,"20""","14""",James Kirk and Son,Poor
3840,000,006,,07/24/1885,"Administrator's sale of valuable Real Estate situated in south Murderkill Hundred, Kent County",Land adjoining Joseph Boone and James B. Conner; Land Adjoining Thomas B. Kelly and Alfred O. Clifton; Land adjoining Alvin B. Conner; Land adjoining Alvin B. Conner and lot of Methodist P. Church (2 copies),4 pieces of land,Orphans' Court,J. S. Butterworth,FALSE,"19.5""","13.75""",James Kirk and Son,Poor
3840,000,006,,11/07/1885,"Trustee's sale of valuable Real Estate situated in West Dover Hundred, Kent County","Land with a two story frame dwelling house and other building s at Pearson's Cross Roads adjoining lands of Joseph H. Thomas, containing 21.5 sq. perches (5 copies)",Land,Orphans' Court,Jonathan Thomas,FALSE,"20.5""","13.5""",Delawarean,Fair
3840,000,006,,03/26/1888,"Administratrix's sale of valuable real estate situated in the town of Dover, Kent County","Land on west side of Delaware Railroad and mostly in town limits of Dover, 2 acres and 17 sq. Perches and containing large evaporating building; 6 1/2 copies",Land,Orphans' Court,William Walker,FALSE,"20""","13 3/4""",J Kirk and Son,Fair
1325,000,231,508333,,Am I Not a Man and a Brother? Our Countrymen in Chains!,"""Our Countrymen In Chains"" poem by J. G Whittier Includes Engraving of Slave",,,,FALSE,"19""","12 1/4""",,Small amount of dirt
1325,000,231,508333,05/23/1801,To the People of Delaware,"Abolitionist Posting - Anti slavery organization - call for public awareness, Activism Francis A Latta, Pres. Zachariah Jess, Sec",,,,FALSE,"10 1/2""","8 1/4""","Unknown, Printed in Wilmington","Fair, Small amount of acid damage"
1325,000,231,508336,1781,Revolutionary War - An Ordinance,Ascertaining what captures on Water shall be lawful,,,,FALSE,"16 1/2""","10 1/4""",David C. Claypoole,Poor
1325,000,231,508335,1865,"Delaware, New Castle and Frenchtown and New Castle and Wilmington Railroads",Departure and arrival times of passenger trains for towns from Salisbury to Wilmington,,,,FALSE,"15 5/8""","10""",,Poor Torn
1325,000,231,508335,1863,Peninsular Railroad Line - Change of hours,Departure and arrival times of passenger trains for towns from Salisbury to Baltimore and Philadelphia,,,,FALSE,"19""","11 3/4""",,Good
1325,000,231,508335,1860,"Delaware, New Castle and Frenchtown, and New Castle and Wilmington Railroads",Departure and arrival times of passenger trains for towns from Salisbury to Wilmington,,,,FALSE,"14""","9 3/8""",,"Fair, Heavy stain"
1325,000,231,508335,1859,"Delaware, Junction and Breakwater, and Connecting Railroads","Departure and arrival times of passenger trains for towns from Laurel to Baltimore and Philadelphia, Illustration of a train",,,,FALSE,"19""","12""",,Fair - has stains and folded edge
1325,000,231,508335,1857,"Delaware, Frenchtown and New Castle and Wilmington Railroads",Departure and arrival times of passenger trains for towns from Seaford to Philadelphia,,,,FALSE,"18 3/4""","12""",,Fair - has stain and tears
1325,000,231,508335,1856,"Delaware, New Castle and Wilmington and New Castle and Frenchtown Railroad",Change of departure and arrival times of passenger trains for towns from Dover to Philadelphia and Steamboat train from Frenchtown to Philadelphia,,,,FALSE,"13""","9 1/4""",,Fair - has stain and holes
1325,000,231,508330,1900,Republican Candidates,"Campaign Governor, Lt. Governor, Representatives, Sheriff, Recorders of Deeds Includes Photographs - 3 copies",,,,FALSE,"17 1/2""","13 3/4""",,Good
1325,000,231,508330,08/1876,Rules for the Government of Democratic Party,"Saturday August 5, 1876 the rules of the Democratic Party will be voted on.  John O'Byrne - Chairman Executive Committee, John Henry Puhl, Secretary",,,,FALSE,"28 1/2""","19 3/8""","""Morning Herald"" print - Wilmington",Fair
1325,000,231,508330,08/22/1874,Notice! The Democratic Voters of Appoquinimink,"Meeting of Democratic Party at the House of Vincent O. Hill, Blackbird, Saturday September 12, 1874  by Joseph Roberts - Chairman",,,,FALSE,"12""","9 3/8""",Middletown Transcript,Poor
1325,000,231,508330,02/24/1868,For Sheriff,"Sheriff of New Castle County,  Appoquinimink Hundred. The Banner Democratic Hundred of the State",,,,FALSE,"19""","12""","Office of the Transcript, Middletown, Delaware",Fair - Stained
1325,000,231,508330,01/01/1866,To the . . . . Delaware Republican,A poem - about effect of Civil War. (and Pro-Paper Advertising),,,,FALSE,"11 1/2""","10 3/4""",,Poor
1325,000,231,508330,10/14/1858,Democratic Meetings,"Listing of meetings with places and times Robert B. Houston "" Ch'n Dev. Co. Cen. Com.""",,,,FALSE,"18""","12 3/4""","Messenger Office, Georgetown Delaware",Poor
1325,000,231,508330,10/28/1856,Impartial Democrats Read and Decide,Samuel Townsend tells about all the people who have done things against the Democratic Party. 2 copies,,,,FALSE,"13 1/2""","9 1/4""",,"1 poor, 1 fair"
3840,000,006,,01/30/1883,"Trustee's sale of valuable real estate situated in South Murderkill Hundred, Kent County Delaware","Farm on south side of road leading from Frederica to Masten Corner adjoining lands of Dr. Saulabury etc. 75 acres, 16 perches.  6 copies",farm,Orphans' Court,John Sliter,FALSE,"18""","11 1/2""",,Fair
3840,000,006,,03/26/1888,"Administrators sale of valuable real estate situated in East Dover Hundred, Kent County Delaware","Farm and 3 story dwelling and out buildings, bound by lands of Samuel White, Henry E. Moore and Isaac Branch on west by road leading from Dover to Moore's Mill. 104 acres 17 perches. 4 copies",Farm and dwellings,Orphans' Court,Henry Moore,FALSE,"21""","14""",Delawarean,Fair
3840,000,006,,06/14/1886,"Administrator's sale of valuable real estate situated in West Dover Hundred, Kent County Delaware","Farm with 1 1/2 story dwelling, adjoining lands of Isaac Pearson, Samuel W. Hall, Thomas Draper etc. 30 acres",Farm,Orphans' Court,John L. Ware,FALSE,"20 1/4""","14""",James Kirk and Son,Poor
3840,000,006,,11/07/1885,"Administrator's sale of Minor's real estate situated in East Dover Hundred, Kent County Delaware",Lot of ground with a three story frame dwelling house and other buildings on west side of State Street in Dover adjoining lands of Mrs. Elizabeth C. Burnite and land of J. Alexander Fulton - 5000 and 25 square feet. 6 copies,Land with house and other buildings,Orphans' Court,Ellen B. Taylor and Alexander J. Taylor,FALSE,"20 1/2""","13 3/4""",Delawarean,Fair
3840,000,006,,03/01/1897,"Administrator's sale of valuable real estate situated in South Murderkill Hundred, Kent County Delaware","1. land at forks of public road from Frederica to Harrington and to Felton, 2  2-story dwellings and an old store house. 131 square perches of land.  2. Farm on road from Frederica to Lam's Church adjoining Samuel J. Minner, John W. Townsend, John Darby","1. Land and 2 2-story dwellings
2. Farm",Orphans' Court,John W. Whataker,FALSE,"24""","13 3/4""",The Index,Good
3840,000,006,490406,05/24/1883,Public sale of desirable building lots in the Village of Townsend,All good building sites and likely to grow more valuable every year,Building lots,Executors of Samuel Townsend,Samuel Townsend,FALSE,"20 3/4""","13 7/8""",Middleton Transcript,Good
3840,000,006,490405,10/22/1867,Guardian's Sale of a Farm or Tract of Land,"Farm situated in Little Creek Hundred , Kent County, adjoining lands of Mrs. Mary S. Reed, lying on public road from Little Creek Landing to Leipsic. 48 acres and 148 square perches",Farm,Executors of Samuel Townsend,Emanual Jacob Stout,FALSE,"21""","12 1/2""",Delawarean,Good
3840,000,006,,03/26/1888,"Administrator's sale of valuable real estate situated in East Dover Hundred, Kent County","104 acres and 17 perches - farm adjoining Samuel White, Henry E. Moore, and Isaac's Branch",Farm with 3 story dwelling,Orphans' Court,Henry Moore,FALSE,"21 1/4""","14""",Delawarean,Fair
3840,000,006,,07/12/1888,"Trustee's sale of valuable real estate situated in Mispillion Hundred, Kent County","6 pieces of property  - 2 farms, 1 tract of woodland, 2 lots with dwellings in Harrington, 1 lot in Harrington.","2 farms, woodland, 2 lots, house, 1 lot",Orphans' Court,William H. Masten,FALSE,"24""","19""",State Sentinel,Poor
3840,000,006,,05/14/1898,"Trustee's sale of valuable real estate situated in Mispillion Hundred, Kent County","Parcel of land containing 2 story frame dwelling house and other buildings. Bounded by: Thomas Johnson, Martha Parvis, Roger LeCompt. 2 copies",Land with dwelling,Orphans' Court,Sarah J. Williams,FALSE,"25 1/2""","17""","Hegeman Printer, Harrington",very poor
3840,000,006,,05/14/1898,"Trustee's sale of valuable real estate situated in Mispillion Hundred, Kent County Delaware","Land in Harrington, bounded on west by West Street, south by lands of Thomas Johnson, north by Martha Parvis, east by Roger LeCompt, front on West Street - two story house and other buildings",Land with dwelling,Orphans' Court,Sarah J. Williams,FALSE,"25 1/2""","16 3/4""","Hegeman Printer, Harrington",poor
3840,000,006,,03/24/1887,Trustee's sale of Minor's real estate situated in East Dover Hundred,"Piece or parcel of land in East Dover Hundred, Kent County on road leading from Dover to Smyrna, about 1 1/2 miles from Dover adjoining lands of late Mrs. Hannah M. Cowgill, lands of David M. Wilson, and mill pond known as Shakespeare's Mill Pond. 18 acres",Land,Orphans' Court,Thomas R. Atkins,FALSE,"20""","14""",James Kirk and Son,Fair
3840,000,006,,06/14/1886,"Administrator's sale of Valuable real estate situated in West Dover Hundred, Kent County","Farm Tract of land adjoining lands of Isaac Pearson, Samuel W. Hall, Thomas Draper and others - 30 acres, 5 copies",Farm with 1 1/2 story frame dwelling and out buildings,Orphans' Court,John L. Ware,FALSE,"20 1/4""","14""",James Kirk and Son,Poor
3840,000,006,,07/18/1883,"Administrator's sale of Valuable real estate situated in Mispillion Hundred, Kent County","Farm house and lot. Farm adjoining lands of Zebulon Hopkins, Charles Baynard, Jeremiah P. Cordray. Two story frame dwelling in Farmington - adjoining Jonathan Herrinton, Henry Austen",Farm and house and lot in Farmington,Orphans' Court,Stephen Redden,FALSE,"19 1/2""","14""",James Kirk and Son,Fair
3840,000,006,,11/10/1884,"Administrator's sale of Valuable real estate situated in Duck Creek Hundred, Kent County",Parcel of land containing 2 1-story frame dwellings on Commerce Street in Smyrna to be sold in front of Hotel kept by E. Thomas Clayton,1 Piece of property containing 2  1-story houses,Orphans' Court,Alexander Jackson,FALSE,"18 1/4""","13 3/4""",James Kirk and Son,Poor
3840,000,006,,11/04/1887,"Administrator's sale of Valuable real estate situated in Mispillion Hundred, Kent County. Sale to be held in front of Charles J. Harrington's Store in Farmington","Farm or tract of land, in Mispillion Hundred, on south side of Junction and Breakwater Railroad, adjoining lands of Henry Denning, lands of Moses Harrington and lands of Joseph Booth. Containing 90 acres.  3 copies",Farm,Orphans' Court,David Emonds,FALSE,"20""","14""",James Kirk and Son,Poor
1325,000,231,508332,05/26/1873,"Trustee's Sale of Valuable Real Estate situated in South Murderkill Hundred, Kent County","Farm or tract of land adjoining lands of Samuel Shutts, John Reynolds, Edward J. Carter and others.  131 acres 49 square perches",Farm,Court of Chancery,Rebecca Mileham,FALSE,"20""","13 1/2""",Delawarean Print,Poor
1325,000,231,508332,09/24/1932,(Public) Sale of valuable Real Estate and Personal Property,"1. Land on West side of Wyoming Avenue in Town of Wyoming adjoining Mary Montaque and Robert Marker, 2 1/2 story dwelling. 2. Farm in N. Murderkill Hundred on Highway from Camden to Willow Grove adjoining Thomas K. Hairgrove, First National Bank, out buildings and 2 1/2 story home, household goods.",Land in town and farm,,Bertha M. Voshell and Margaret M. Jump,FALSE,"19""","12 1/2""",,Poor
1325,000,231,508330,03/21/1855,A few words to the Public - by Samuel Townsend,Telling of the tyranny of the Church and State Temperance fanatics who were tormenting the Democrats and Republicans,,,,FALSE,"12 1/4""","9 1/2""",,"Poor, stained"
1325,000,231,508330,09/13/1848,Whig Meeting,"Meeting to nominate candidates for Assessor and Inspector, and to choose conferees to form a County Ticket",,,,FALSE,"9 1/2""","12""",,"Poor, torn and stained"
1325,000,231,508330,05/28/1846,"Proceedings of the Democratic Meeting held at Dover, May 28, 1846",Resolutions and names of Delegates to the Conventions. Jehu Cinrkle President/John Cloak Trusten L. Davis; James Hend V Pres.,,,,FALSE,"19""","11 3/4""",,Poor
1325,000,231,508330,01/23/1846,Proceedings of a Democratic Meeting in Appoquimink Hundred,"Appointment of President, Vice President, and Secretary",,,,FALSE,"11 1/2""","9 1/4""","Office of the ""Blue Hen's Chicken"" corner of Front and Market Street. Wilmington","Poor, some staining and holes"
1325,000,231,508330,11/17/1843,Sherriffalty to the Whigs of New Castle County,Jacob Caulk is a candidate for the nomination of Sheriffality of New Castle County,,,,FALSE,"15""","11""","Cheap Job Office"" of Attendance, Jean Hill and Miles, Wilmington",Poor
1325,000,231,508330,09/28/1840,Republican Hundred Meeting,"Candidates announced after a meeting on September 2th, Inspector - Jonathan Pratt   Jon Reignolds",,,,FALSE,"12 1/2""","9 7/8""",,"Poor, Stained and a tear."
1325,000,231,508330,02/06/1837,Public Meeting on Saturday the 11th. Don't Give up the Ship!,"To the Freemen of New Castle County - for the purpose of expressing your sense of the vote of Friday last, and of reasserting your fixed determination to preserve unto the end.",,,,FALSE,"21""","13 1/2""",,"Poor, stained and corner torn"
1325,000,231,508330,02/06/1837,"Public Meeting, on Saturday the 11th To the Freemen of New Castle County!","Call for a public meeting at Town Hall in Wilmington, for purpose of expressing a vote for location of Courts of Justice. 2 copies",,,,FALSE,"15 1/2""","10 3/4""",,Poor
1325,000,231,508330,09/04/1810,The Freeman,J. B. Risley and Company propose to publish in the borough of Wilmington. A Weekly Republican Paper. To be entitled the Delaware Freeman,,,,FALSE,"16 1/2""","6 1/2""",,Good
1325,000,231,508330,06/13/1809,"Proposals for publishing a Democratic Newspaper, to be entitled the Delaware Gazette.",The Delaware Gazette to be printed to give a regular account of the politics of the states.,,,,FALSE,"13""","8""",,Fair
1325,000,231,508330,09/29/1807,To the Electors of New Castle County,Asking the public to vote to strengthen our nation,,,,FALSE,"13""","8""",,Poor
1325,000,231,508330,ca 09/20/1805,"At a meeting of the Democratic Republican Delegates from Brandywine, Christiana, Red Lion, St. Georges, and Appoquinimink Hundreds","List of Representatives and Levy - Court Commissioners James Lea, Chairman and Richard C. Dale, Sec.",,,,FALSE,"17""","10 1/2""",,Poor
1325,000,231,508330,,Christiana Hundred,A meeting of the Democratic Republican committee for Christiana Hundred. A letter to the electors asking them to note for Haslett for Governor and Rodney as Representative,,,,FALSE,"12 3/4""","8 1/4""",,Poor
1325,000,231,508330,ca 1800,The Truth! Attention!! The following is worthy of the most serious attention of every voter in Kent County.,"To the electors of Kent County Discussion on duties on salt, tea, brown sugar etc. over the years",,,,FALSE,"20 1/2""","11 1/2""",,Poor
1325,000,231,508330,post 1846,To the People of Sussex County,Results of examining public records of Sussex County - taxes and actual expenses under Whig Party and Democratic Reform Party,,,,FALSE,"10""","16""",,Fair
1325,000,231,508330,ca 1861,Who!!,Questions concerning a politician they do not like or believe in Anti Abolhiohist Rhetoric,,,,FALSE,"14""","9""",,Fair
1325,000,231,508330,,"The Kent County Song, or New Version of Old Tippecanoe","14 verses of the Kent County Song, Political Propaganda",,,,FALSE,"9 1/2""","11""",,Poor
1325,000,231,508330,post civil war,To the Democratic White Men of Delaware,Nicholas Barlow wants to be a candidate for the office of Governor from the Democratic White Man's Hundred of Appoquinimink,,,,FALSE,"12""","9 1/4""",,Poor
1325,000,231,508330,,Notice - an adjourned meeting of the Republican Reform Party to be held at Georgetown.,"Preparing for the coming election, hopefully not disposed to rely on Whig Promises",,,,FALSE,"9 3/4""","11 3/4""",,Fair
1325,000,231,508330,c 1831,Election Law,Qualification of voters in the State of Delaware,,,,FALSE,"18 1/2""","11 1/2""",,Poor - strained
1325,000,231,508330,post 1842,The Present Whig Candidate for Sheriff,To the Honest Voters of Sussex County Nathaniel P. Harris is running for Reelection,,,,FALSE,"13 1/4""","12""",,Fair
1325,000,231,508326,ca. 1874,Casho Machine Company Newark Delaware,"Manufactures of the Unrivalled Patent ""Diamond State"" Thresher and Cleaner and other first class Machinery, Mill and Factory Work, etc.",,,,FALSE,"16 1/8""","10 1/8""",,Good - 1 small tear
1325,000,231,508326,Post 1870,The Great Fertilizer - Whann's Raw Bone super - phosphate,"Best and cheapest Manure in the market. Manufacturers - Walton, Whann and Company. Wilmington, Baltimore and Philadelphia",,,,FALSE,"15 1/2""","15""","Lehman & Bolton, Philadelphia",Good except for 2 tears
1325,000,231,508326,1818,"Sykes, Stead and Company",To tell the public that they have moved from their old business site.,,,,FALSE,"10 1/8""","8""",,Good
