Last Name,First Name,Middle,Prefix/Suffix,Comments,Started Serving,Ended Serving,Elected,GA #,District,County,Party,Office,Position,Ref,Barcode
Alexander,Archibald,,,,1793,1794,,,,NC,,State Senator,,,
Alexander,Archibald,,,,1796,1796,,,,NC,,State Senator,,,
Alexander,Archibald,,,,1797,1797,,,,NC,,State Senator,,,0
Alexander,Archibald,,,,1798,1798,,,,NC,,State Senator,,,0
Alexander,Archibald,,,,1799,1799,,,,NC,,State Senator,,,0
Alexander,Archibald,,,,1803,1803,,,,NC,,State Senator,,,
Alexander,Gregg,,,,1861,1864,,,3,NC,,Wilmington City Council,,RG5100 Box 1,131598
Alexander,William,S.,,,1899,1901,,,,NC,,Wilmington City Council,,RG5100 Box 1,131598
Alexander,Granville,P.,,,1911,1912,,,1,NC,,State Representative,,,
Alexander,Edgar,,,,1955,1956,,118,14,NC,D,State Representative,,,
Alexander,Edgar,,,,1957,1958,,119,14,NC,D,State Representative,,,0
Allaband,William,,,,1795,1795,,,,KC,,State Representative,,,
Allaband,William,R.,,,1887,1888,,,,KC,,State Representative,,,
Allderdice,John,A.,,"Spelling of last name is ""as is"" on record",1850,1853,,,,NC,,Clerk; Wilmington,,RG5100 Box 1,131598
Allderdice,John,A.,,,1853,1854,,,,NC,,Mayor of Wilmington,,,
Allderdice,William,H.,,,1858,1861,,,3,NC,,Wilmington City Council,,RG5100 Box 1,131598
Allderdice,John,A.,Esq.,,1865,1868,,,,NC,,State Representative,,,
Allee,Presley,,,"Short Session, November 1820",1820,1820,,,,,,State Senator,,,
Allee,J.,Frank,,Conrad says 1898,1899,1900,,,,KC,,State Senator,,"Conrad p. 267, Journal",
Allee,J.,Frank,,,1901,1902,,,,KC,,State Senator,,,0
Allee,James,Frank,,,1903,1907,,,,,,,,Journal,
Allee,J.,Frank,,,1903,1904,,,,KC,,State Senator,,,0
Allee,J. (James),Frank,,,1903,1907,,,,KC,,US Senator,,"Journal, Conrad p. 261",
Allee,J.,Frank,,Became US Senator 1905,1905,1905,,,90,KC,,State Senator,,,0
Allee,J.,Frank,,,1905,,,,,KC,,US Senator,,,0
Allee,James,,Jr.,,1919,1920,,97,,KC,,State Senator,,,
Allee,J.,F.,Jr.,,1921,,,,3rd,KC,R,,,,
Allee,James,,Jr.,,1921,1922,,98,,KC,,State Senator,,,0
Allee,Douglass,C.,,,1923,1924,,99,5,KC,R,State Representative,,,
Allegretto,Charles,A.,,,1946,1946,,110,2,NC,R,State Representative,,,0
Allen,John,,,,1845,1848,,,,NC,,State Representative,,,
Allen,Major,W.,Esq.,,1863,1864,,,,SC,,State Representative,,,
Allen,Frank,,,,1903,1904,,,3,SC,,State Representative,,,
Allen,Benjamin,B.,,,1907,1908,,,1,NC,,State Representative,,,
Allen,Benjamin,H.,,"Seated after appeal, July 27, 1909; appeal decision reversed, June 7, 1910",1909,1910,,,2,NC,,Wilmington City Council,,RG5100 Box 1,131598
Allen,James,M.,,,1913,1914,,,3,SC,,State Representative,,,
Allen,Frank,,,,1915,1916,,95,3,SC,D,State Representative,,,
Allen,William,F.,,,1925,1926,,100,2,SC,D,State Senator,,,
Allen,William,F.,,,1927,1928,,101,2,SC,,State Senator,President Pro-tem 1927-1928,,0
Allen,Warren,L.,,,1947,1948,,114,3,SC,D,State Representative,,,
Allen,Warren,L.,,,1949,1950,,115,3,SC,D,State Representative,,,
Allen,Warren,L.,,Special Session in December,1951,1952,,116,3,SC,D,State Representative,,,
Allen,William,T.,,,1985,1997,,,,,,Chancellor,,,
Allerdice,John,A.,,,1853,1854,,,,NC,,Mayor; Wilmington,,RG5100 Box 1,131598
Allmond,John,P.,,,1878,1882,,,,NC,,Mayor; Wilmington,,RG5100 Box 1,131598
Alrichs,Jacob,,,,1657,1657,,,,,,Dutch Rule Governor,,Conrad p. 256,0
Alrichs,Peter,,,,1673,1674,,,,,,Dutch Rule Governor,,Conrad p. 256,0
Alrichs,Jacob,,Esq.,,1831,1832,,,,NC,,State Senator,,,
Alrichs,Jacob,,Esq.,,1832,1832,,,,NC,,State Senator,,,0
Alrichs,William,T.,,,1855,1857,,,,,,State Auditor,,"Journal, Conrad p. 260",
Alrichs,Samuel,,,Conrad says 1894,1895,1896,,,,NC,,State Senator,,"Conrad p. 265, Journal",
Alrichs,Samuel,,,,1897,1898,,,,NC,,State Senator,,,0
Amick,Steven,H.,,,1995,1996,,138,10,NC,R,State Senator,Newark Jaycees; Breezewood Civic Assoc.,,
Anderson,Ezekiel,,,"History of Delaware 16091888, by T Scharf",1780,1780,,,,,,,,,0
Anderson,Ezekiel,,,"History of Delaware 16091888, by T Scharf",1792,1795,,,,,,,,,0
Anderson,Reuben,,,"History of Delaware 16091888, by T Scharf",1819,1820,,,,,,,,,0
Anderson,J.,Herman,,,1909,1910,,,,KC,,State Senator,,,
Anderson,J.,Herman,,,1911,1912,,,,KC,,State Senator,,,0
Anderson,Harry,J.,,,1913,1914,,,4,SC,R,State Senator,,,
Anderson,Harry,J.,,,1915,1916,,,4,SC,,State Senator,,,0
Anderson,J.,Hall,,,1925,1926,,100,,,,State Senator,President both 1925 and 1927 terms,,
Anderson,J.,Hall,,,1927,1928,,101,,,,State Senator,President both 1925 and 1927 terms,,0
Anderson,John,J.,,,1937,1943,,,8,NC,,Wilmington City Council,,RG5100 Box 1,131598
Andros,Edmond,,,,1674,1674,,,,,,English Rule Governor,,Conrad p. 256,0
Annett,John,H.,,,1961,1962,,121,2,SC,R,State Representative,,,
Anthony,Henry,S.,,,1903,1904,,,1,KC,,State Representative,Speaker,,
Appleford,Henry,Brunsden,,,1957,1958,,119,7,KC,R,State Representative,,,
Appleton,Henry,H.,Esq.,,1861,1862,,,,NC,,State Representative,,,
Armstrong,William,,,,1765,1769,,,,NC,,State Representative,,,
Armstrong,Robert,,,,1794,1794,,,,NC,,State Representative,,,
Armstrong,Robert,,,,1796,1796,,,,NC,,State Representative,,,
Armstrong,Robert,,,,1797,1798,,,,SC,,State Representative,,,
Armstrong,Archibald,,,Conrad says 1854,1855,1855,,,,NC,,State Senator,,"Journal, Conrad p. 265",
Armstrong,Theodore,F.,,,1885,1886,,,,NC,,State Representative,,,
Armstrong,Theodore,F.,,,1889,1890,,,,NC,,State Representative,,,
Armstrong,Samuel,,Esq.,,1893,1894,,,,KC,,State Representative,,,
Armstrong,John,P.,,,1904,1905,,,9,NC,,State Representative,,,
Armstrong,John,P.,,,1906,1907,,,9,NC,,State Representative,,,
Armstrong,William,N.,,,1909,1910,,,15,NC,,State Representative,,,
Armstrong,B.,Irwin,,,1934,1934,,,,,,Chief Clerk of the House,,,0
Armstrong,Robert,L.,,,1945,1949,,,9,NC,,Wilmington City Council,,RG5100 Box 1,131598
Armstrong,Robert,L.,,,1947,1948,,114,2,NC,R,State Representative,,,
Armstrong,Robert,L.,,,1949,1950,,115,2,NC,R,State Representative,,,
Arndt,Ernst,M.,,,1985,1985,,,,,,Kent County Justice of the Peace,,,
Arndt,Ernst,M.,,,1989,,,,,,,Kent County Justice of the Peace,,,
Aron,James,P.,,,1901,1902,,,4,KC,,State Representative,,,
Arthurs,John,W.,,,1913,1914,,,3,KC,,State Representative,,,
Ashton,John,,,,1925,1926,,100,4,KC,R,State Representative,,,
Ashton,John,,,,1927,1928,,101,4,KC,R,State Representative,,,
Askew,Henry,,,,1844,1847,,,4,NC,,Wilmington City Council,,RG5100 Box 1,131598
Aspril,Leonard,V.,Jr.,,1903,1904,,,13,NC,,State Representative,,,
Atkins,David,H.,,,1885,1886,,,,SC,,State Representative,,,
Atkins,C.,,,Not in Conrad p. 260,1895,,,,,,,State Auditor,,Journal,
Atkins,Charles,A. or H.,,,1895,1897,,,,,,Treasurer,,"Journal, Conrad p. 259",
Atkins,Stant,B.,,,1915,1919,,,2,NC,,Wilmington City Council,,RG5100 Box 1,131598
Atkinson,William,A.,,,1857,1858,,,,KC,,State Representative,,,
Atkinson,William,A,,"History of Delaware 16091888, by T Scharf",1858,1860,,,,,,,,,0
Attix,Thomas,,Esq.,,1891,1892,,,,KC,,State Representative,,,
Attix,John,W.,,,1925,1926,,100,2,KC,R,State Senator,,,
Attix,John,W.,,,1927,1928,,101,2,KC,,State Senator,,,0
Attix,Frank,,,,1941,1942,,108,2,KC,D,State Senator,,,
Attix,Frank,,,,1943,1945,,,2,NC,,State Senator,,,0
Attix,Frank,,,,1943,1944,,109,2,KC,,State Senator,,,0
Austin,Lavinus,,,,1903,1904,,,10,KC,,State Representative,,,
Ayars,John,J.,Jr.,,1937,1939,,,3,NC,,Wilmington City Council,,RG5100 Box 1,131598
Ayers,Preston,,,,1886,1890,,,1,NC,,Wilmington City Council,,RG5100 Box 1,131598
Ayers,Thomas,E.,,,1966,1969,,,,,,Sussex County Justice of the Peace,,,
Ayres,William,H.,,,1943,1944,,109,3,SC,,State Senator,,,0
Ayres,William,H.,,1946 Special Session,1945,1946,,110,3,SC,D,State Senator,,,
Babiarz,John,E.,,,1955,1956,,,,,,Chief Clerk of the House,,,0
Babiarz,John,E.,,,1957,1960,,,,NC,,Wilmington City Council,President 1957-1960,RG5100 Box 1,131598
Babiarz,John,E.,,,1961,1968,,,,NC,,Mayor; Wilmington,,RG5100 Box 1,131598
Bacon,John,S.,Esq.,,1867,1868,,,,SC,,State Representative,,,
Bacon,Thomas,,,,1887,1888,,,,SC,,State Senator,,,0
Bacon,Thomas,,,,1889,1890,,,,SC,,State Senator,,,0
Bacon,Walter,W.,,,1935,1940,,,,,,Mayor of Wilmington,,,
Bacon,Walter,W.,,,1935,1941,,,,NC,,Mayor; Wilmington,,RG5100 Box 1,131598
Bacon,Walter,W.,,,1941,1949,,,,NC,R,Governor,,,
Baggs,William,H.,,,1904,1905,,,1,KC,,State Representative,,,
Baggs,William,H.,,,1906,1907,,,1,KC,,State Representative,,,
Bailey,Isaac,H.,Esq.,,1863,1864,,,,SC,,State Representative,,,
Bailey,Obed,,,William a. Murphy appointed vice Bailey 45th Session,1875,1876,,,5,NC,,Wilmington City Council,,RG5100 Box 1,131598
Bailey,Abner,P.,,,1880,1883,,,8,NC,,Wilmington City Council,,RG5100 Box 1,131598
Bailey,Leon,A.,,,1935,1935,,105,7,KC,D,State Representative,,,0
Bailey,Fred,S.,,,1939,1940,,107,9,KC,D,State Representative,,,
Bailey,Fred,S.,,1944 Special Session,1943,1944,,109,9,KC,D,State Representative,,,
Bailey,Fred,S.,,1946 Special Session,1945,1946,,110,4,KC,D,State Senator,,,
Bailey,Leon,A.,,,1947,1948,,114,5,SC,D,State Representative,,,
Bailey,Fred,S.,,,1947,1948,,114,4,KC,,State Senator,,,0
Baily,Joseph,,,,1832,1835,,,,NC,,Wilmington City Council,,RG5100 Box 1,131598
Bair,Myrna,L.,,,1987,1988,,134,5,NC,R,State Senator,,,0
Bair,Myrna,L.,,,1989,1990,,135,5,NC,,State Senator,,,0
Bair,Myrna,L.,,,1991,1992,,136,5,NC,,State Senator,,,0
Bair,Myrna,L.,,,1993,1994,,137,5,NC,,State Senator,,,0
Bair,Myrna,L.,,Minority Leader,1995,1996,,138,5,NC,R,State Senator,League of Women Voters of De.; etc.; Minority Leader,,
Baird,George,,,,1841,1842,,,,NC,,Wilmington City Council,,RG5100 Box 1,131598
Baker,Joshua,G.,,,1833,1835,,,,,,Chief Clerk of the House,,,0
Baker,John,G.,,,1872,1875,,,4,NC,,Wilmington City Council,,RG5100 Box 1,131598
Baker,John,G.,,,1876,1878,,,4,NC,,Wilmington City Council,,RG5100 Box 1,131598
Baker,Frank,,,Scharf’s and  History of DE by H Conrad,1905,1907,,,,,,,,,0
Baker,Edward,,,,1927,1933,,,,,,State Auditor,,,
Baker,Alvin,O.,,,1935,1935,,105,2,SC,R,State Representative,,,0
Baker,James,W. W.,,,1949,1951,,,,,,State Auditor,,,
Baker,William,W.,Sr.,,1961,1962,,121,8,SC,R,State Representative,,,
Baker,Norman,D.,,,1966,1979,,,,,,Sussex County Justice of the Peace,,,
Baker,James,M.,,,1973,1984,,,4,NC,,Wilmington City Council,,RG5100 Box 1,131598
Baker,James,M.,,,1985,1992,,,,NC,,Wilmington City Council,President 1985-1992,RG5100 Box 1,131598
Baldwin,Thomas,L. J.,Esq.,,1875,1876,,,,NC,,State Representative,,,
Balick,Sidney,,,Replaced Abe Goldfeder 1/20/1970,1970,1970,,125,1,NC,,State Representative,,,0
Ball,Newell,,,,1895,1896,,,,SC,,State Representative,,,
Ball,Lewis,Heisler,,,1899,1901,,,,,,Treasurer,,Conrad p. 259,0
Ball,L.,Heisler,,,1900,1902,,,,,,US Representative,,Conrad p. 262,0
Ball,Lewis,Heisler,,March - March,1903,1905,,,,,,US Senator,,Conrad p. 261,0
Ball,L.,Heisler,,,1919,1925,,,,,,,,,
Ball,William,,,,1927,1928,,101,5,KC,R,State Representative,,,
Ball,Calvin,H.,,,1947,1948,,114,8,NC,R,State Representative,,,
Ball,Calvin,,,Special Session December,1951,1952,,116,8,NC,R,State Representative,,,
Bancroft,Samuel,,"Esq., Jr.",,1867,1868,,,,NC,,State Representative,,,
Bancroft,John,,,,1903,1904,,,3,NC,,State Representative,,,
Bancroft,Frank,C.,,,1935,1936,,105,3,KC,D,State Senator,,,
Bane,Margo,Ewing,,,1987,1988,,134,8,NC,R,State Senator,,,
Bane,Margo,Ewing,,,1989,1990,,135,8,NC,R,State Senator,,,0
Banks,Charles,W.,,,1966,1970,,,,,,Sussex County Justice of the Peace,,,
Banning,James,L.,,,1909,1911,,,,NC,,Wilmington City Council,,RG5100 Box 1,131598
Barcus,Willard,E.,,1944 Special Session,1943,1944,,109,2,KC,R,State Representative,,,
Barker,Joseph,,,,1798,,,,,KC,,State Representative,,,
Barkley,James,Ernest,,,1943,1957,,,8,NC,,Wilmington City Council,,RG5100 Box 1,131598
Barlow,Harry,M.,,,1883,1884,,,,NC,,State Representative,,,
Barlow,Henry,M.,,,1885,1886,,,,NC,,State Representative,,,
Barnard,Remsen,C.,,,1904,1904,,,,KC,,State Senator,,,0
Barnard,Remsen,C.,,,1905,1906,,,90,KC,,State Senator,,,
Barnard,Remsen,C.,,,1907,1908,,,91,KC,,State Senator,,,0
Barnard,Remsen,C.,,,1909,1910,,,,KC,,State Senator,,,0
Barnard,John,A.,,,1913,1914,,,7,KC,,State Representative,,,
Barnard,John,A.,,,1915,1916,,,,KC,,State Senator,,,0
Barnard,John,A.,,,1917,1918,,96,,KC,R,State Senator,"President Pro-tem 1917-1918, Special Session 1918",,
Barnard,Ezekiel,C.,,,1947,1948,,114,7,KC,R,State Representative,,,
Barnard,E.,Cowgill,,,1951,1952,,116,3,KC,R,State Senator,,,
Barnard,E.,Cowgill,,,1953,1954,,116,3,KC,,State Senator,,,0
Barnes,Robert,A.,,,1931,1932,,103,10,NC,R,State Representative,,,
Barney,Francis,M.,,,1885,1886,,,8,NC,,Wilmington City Council,,RG5100 Box 1,131598
Barney,Francis,T.,,,1886,1887,,,8,NC,,Wilmington City Council,,RG5100 Box 1,131598
Barnhill,George,T,Jr,replaced John C Hazzard,,,,,,NC,,Public Service Commission,,,0
Barnhill,George,T.,,,1879,1882,,,9,NC,,Wilmington City Council,,RG5100 Box 1,131598
Barnhill,George,T.,,,1885,1887,,,9,NC,,Wilmington City Council,,RG5100 Box 1,131598
Barns,John,,,,1765,,,,,KC,,State Representative,,,
Barr,Samuel,,Esq.,,1841,1842,,,,NC,,State Representative,,,
Barr,John,Linden,,,1939,1940,,107,9,SC,R,State Representative,,,
Barr,John,Linden,,,1940,1942,,107,9,SC,R,State Representative,,,
Barr,John,L.,,,1941,1942,,108,9,SC,R,State Representative,,,0
Barratt,Philip,,,"History of Delaware 16091888, by T Scharf",1778,1780,,,,,,,,,0
Barratt,Andrew,,,"History of Delaware 16091888, by T Scharf",1780,1792,,,,,,,,,0
Barratt,John,,,,1810,1811,,,,,,Secretary of State,,Conrad p. 259,
Barratt,John,,,,1812,1813,,,,,,Chief Clerk of the House,,,0
Barratt,Andrew,,,name spelled Barrett?,1812,1812,,,,KC,,State Senator,"Speaker for 1812, 1813, and 1814",,
Barratt,Andrew,,,name spelled Barrett?,1813,1813,,,,KC,,State Senator,Speaker,,0
Barratt,Andrew,,,name spelled Barrett?,1814,1814,,,,KC,,State Senator,Speaker,,0
Barratt,James,,,,1832,,,,,SC,,State Representative,,,
Bartholomew,John,E.,Esq.,,1877,1878,,,,NC,,State Representative,,,
Bartkowski,Richard,J.,,"Served ""At Large""",1969,1992,,,,NC,,Wilmington City Council,,RG5100 Box 1,131598
Bartleson,T.,Lees,,,1957,1958,,119,6,NC,R,State Representative,,,0
Bartleson,T.,Lees,,,1959,1960,,120,6,NC,R,State Representative,,,0
Bartleson,T.,Lees,,,1961,1962,,121,6,NC,R,State Representative,,,0
Bartram,H.,W.,,,1860,1863,,,5,NC,,Wilmington City Council,,RG5100 Box 1,131598
Bassett,Richard,,,,1789,1793,,,,,,,,,
Bassett,Richard,,,,1796,,,,,KC,,Chief Justice,,,
Bassett,Richard,,,March to March,1798,1793,,,,,,US Senator,,Conrad p. 260,0
Bassett,Richard,,,,1799,1801,,,,KC,F,Governor,,,
Bates,Martin,W.,Esq.,,1819,1819,,,,KC,,State Representative,,,
Bates,Martin,W.,,,1826,1827,,,,KC,,State Representative,,,
Bates,Daniel,M.,,Found in Journal 1849,1847,1851,,,,,,Secretary of State,,"Journal, Conrad p. 259",
Bates,Martin,W.,,January - March,1857,1859,,,,,,US Senator,,Conrad p. 261,0
Bates,George,H.,,,1883,1884,,,,NC,,State Representative,,,
Batessl,Daniel,Moore,,,1865,,,,,,,Chancellor,,,
Batson,John,Wife,,,1792,1796,,,,SC,,State Representative,,,
Battaglia,Francis,V.,,,1953,1957,,,1,NC,,Wilmington City Council,,RG5100 Box 1,131598
Battell,Cornelius,,,"History of Delaware 16091888, by T Scharf",1810,1813,,,,,,,,,0
Battell,James,,Esq.,,1815,1817,,,,KC,,State Representative,,,
Battersby,Norman,E.,,Special Session December,1951,1952,,116,9,NC,R,State Representative,,,0
Battersby,Norman,E.,,,1953,1954,,117,9,NC,R,State Representative,,,0
Baugh,William,G.,,,1882,1886,,,1,NC,,Wilmington City Council,,RG5100 Box 1,131598
Baugh,William,C.,,,1887,1891,,,1,NC,,Wilmington City Council,,RG5100 Box 1,131598
Bayard,James,A.,,,1796,1803,,,,,,,,,
Bayard,James,A.,,,1796,1803,,,,,,US Representative,,Conrad p. 261,0
Bayard,James,A.,,,1803,1803,,,,,,State Representative,,,
Bayard,James,A.,,,1804,1813,,,,,,,,,
Bayard,James,A.,,"Resigned in 1812, Conrad ends term 5/28/1813",1804,1813,,,,,,US Senator,,"Journal, Conrad p. 261",
Bayard,James,A.,,,1805,1806,,,,,,US Representative,,Conrad p. 261,0
Bayard,James,A.,,,1828,1830,,,,,,US Representative,,Conrad p. 261,0
Bayard,Richard,H.,,,1832,1834,,,,NC,,Mayor of Wilmington,,RG5100 Box 1,131598
Bayard,Richard,H.,,,1832,1834,,,,,,Mayor of Wilmington,,"Journal, Conral p. 265",
Bayard,Richard,H.,,Elected for 4 years in 1833,1833,1833,,,,NC,,State Senator,,,0
Bayard,Richard,H.,,Journal says 1835; Conrad says 1836; June - March,1835,1845,,,,,,US Senator,,"Journal, Conrad p. 261",
Bayard,Richard,H.,,,1836,1845,,,,,,,,,
Bayard,Richard,H.,,,1839,,,,,,,Chief Justice,,,
Bayard,James,A.,,,1851,1864,,,,,,,,,
Bayard,James,,,March - January,1851,1864,,,,,,US Senator,,"Journal, Conrad p. 261",
Bayard,James,A.,,Resigned in 1864,1863,1864,,,,,,US Senator,,Journal,
Bayard,James,A.,,April - March,1867,1869,,,,,,,US Senators,Conrad p. 261,0
Bayard,James,A.,,,1867,1869,,,,,,,,,
Bayard,Thomas,F.,,,1869,1885,,,,,,,,,
Bayard,James,A.,,"Replaced G. R. Riddle, deceased",1869,,,,,,,US Senator,,Journal,
Bayard,Thomas,F.,,"Both Bayards named in 1869, March - January",1869,1885,,,,,,US Senator,,"Journal, Conrad p. 261",
Bayard,Thomas,F.,,,1875,1876,,,,,,US Senator,,Journal,
Bayard,Thomas,F.,,,1881,,,,,,,US Senator,,Journal,
Bayard,Thomas,F.,,,1922,1929,,,,,,,,,
Bayard,Alexander,,,,1951,1952,,116,,,,State Senator,President,,
Baylis,Jesse,K.,,,1895,1897,,,,NC,,Wilmington City Council,,RG5100 Box 1,131598
Baylis,Edgar,W.,,,1909,1910,,,8,SC,,State Representative,,,
Bayliss,Norman,B.,,,1941,1942,,108,10,SC,R,State Representative,,,
Baynard,Samuel,H.,,,1884,1888,,,6,NC,,Wilmington City Council,,RG5100 Box 1,131598
Baynard,Samuel,H.,,,1901,1902,,,2,NC,,State Representative,,,
Beale,Aaron,S.,,Beale appointed vice George T. Barnhill 55 Session,1886,1891,,,9,NC,,Wilmington City Council,,RG5100 Box 1,131598
Beaston,Ephraim,,Esq.,,1853,1854,,,,NC,,State Representative,,,
Beaston,Walter,,,,1929,1930,,102,13,NC,,State Representative,,,
Beauchamp,William,E,,,,,,,,SC,,Magistrate,,,0
Beauchamp,Isaac,,,,1799,1799,,,,SC,,State Representative,,,
Beck,James,B.,,,1972,1975,,,,,,Kent County Justice of the Peace,,,
Bedford,Gunning,,,,1778,1790,,,,,,Attorney General,,,
Beecher,Abraham,P.,,,1880,1889,,,5,NC,,Wilmington City Council,,RG5100 Box 1,131598
Beekman,William,,,,1658,1659,,,,,,Dutch Rule Governor,,Conrad p. 256,0
Behen,William,B.,,,1955,1956,,118,1,KC,D,State Senator,,,
Behen,William,B.,,,1957,1958,,119,1,KC,,State Senator,,,0
Bell,Thomas,A.,,,1911,1912,,,6,KC,,State Representative,,,
Bell,Davis,H.,,,1927,1928,,101,1,KC,D,State Representative,,,
Bell,Edward,R.,,,1945,1957,,,6,NC,,Wilmington City Council,,RG5100 Box 1,131598
Bellah,Edward,F.,,,1861,1867,,,1,NC,,Wilmington City Council,President 1866-1867,RG5100 Box 1,131598
Bellville,John,P.,,,1863,1864,,,,NC,,State Senator,,,
Bellville,John,P.,,,1865,1866,,,,NC,,State Senator,,,0
Bellville,John,P.,,,1867,1868,,,,NC,,State Senator,,,0
Belville,Thomas,W.,Esq.,,1859,1860,,,,NC,,State Representative,,,
Bendler,Frederick,D.,,,1915,1916,,95,12,NC,R,State Representative,,,
Benger,Ernest,B.,Dr.,,1949,1950,,115,7,NC,R,State Representative,,,
Benger,Ernest,B.,,,1951,1952,,116,3,NC,D,State Senator,,,
Benger,Ernest,B.,,,1953,1954,,116,3,NC,,State Senator,,,0
Bennett,Jehu,,,,1832,,,,,SC,,State Representative,,,
Bennett,Caleb,P.,,Died in 1836,1833,1836,,,,NC,D,Governor,,,
Bennett,John,W.,,,1903,1904,,,1,SC,,State Representative,,,
Bennett,Elias,T.,Jr.,,1913,1914,,,1,SC,,State Representative,,,
Bennett,Asa,W.,,,1919,1920,,97,,SC,R,State Senator,,,
Bennett,Asa,W.,,,1921,1922,,98,,SC,,State Senator,,,0
Bennett,William,T.,,1932 Special Session,1932,1932,,103,5,SC,D,State Representative,,,
Bennett,William,T.,,1934 Special Session,1933,1934,,104,5,SC,D,State Representative,,,
Bennum,Henry,O.,Jr.,,1904,1905,,,8,SC,,State Representative,,,
Bennum,Henry,O.,Jr.,,1906,1907,,,8,SC,,State Representative,,,
Bennum,Henry,O.,Jr.,,1907,1908,,,8,SC,,State Representative,,,
Benson,Nathaniel,R.,,,1891,1893,,,,NC,,Wilmington City Council,President 1891-1893,RG5100 Box 1,131598
Benson,Alden,R.,,,1904,1905,,,5,KC,,State Representative,,,
Benson,Alden,R.,,,1906,1907,,,5,KC,,State Representative,,,
Benson,Samuel,H.,Jr.,,1907,1911,,,7,NC,,Wilmington City Council,,RG5100 Box 1,131598
Benson,Samuel,H.,Jr.,,1911,1913,,,,NC,,Wilmington City Council,President 1911-1913,RG5100 Box 1,131598
Benson,Alden,R.,,,1921,1925,,,,,,Secretary of State,,,
Benson,Elmer,E.,,,1931,1932,,103,5,KC,R,State Representative,,,
Benson,Elmer,E,,,1939,1940,,107,5,KC,R,State Representative,,,
Berndt,Robert,J.,,,1987,1988,,134,4,NC,,State Senator,,,0
Best,William,T.,,,1959,1960,,120,10,SC,R,State Representative,,,
Best,William,T.,,,1961,1962,,121,10,SC,R,State Representative,,,
Beswick,Edward,S.,,,1911,1912,,,10,KC,,State Representative,,,
Betts,Mahlon,,,,1832,1835,,,,NC,,Wilmington City Council,,RG5100 Box 1,131598
Betts,Mahlon,,Esq.,,1841,1842,,,,NC,,State Representative,,,
