Subject,Author,Title,Date,Box Number,Barcode
Archaeology,"Weslager, C. A.",Indians of The Eastern Shore of Maryland and Virginia,1950,5,390177
"Bicentennial Newsletters, Etc.",,"Report of the American Revolution Bicentennial Celebration, 1976  Highlights of Progress to Date",1976,1,391645
"Bicentennial Newsletters, Etc.",,St. Margaret II,1976,1,391645
"Bicentennial Newsletters, Etc.",,Delaware  Bicentennial   Calendar of Events May/June,1976,1,391645
"Bicentennial Newsletters, Etc.",,Delaware American Revolution Bicentennial Commission (A Look Toward the Future Conference (2 copies),1977,1,391645
"Bicentennial Newsletters, Etc.",,First State Bicentennial Newsletter  (random issues),1974-1975,1,391645
"Bicentennial Newsletters, Etc.",,Come to a Star Spangled Ball...that's the Spirit!,1975,1,391645
"Bicentennial Newsletters, Etc.",,Monthly Chronicle of the American Bicentennial,n.d.,1,391645
"Bicentennial Newsletters, Etc.",,Delaware Constitution Day Ceremony   (5 copies),1973,1,391645
"Bicentennial Newsletters, Etc.",,Furture Bi-Kent -ennial Attractions! 1776-1976,1976,1,391645
"Bicentennial Newsletters, Etc.",,Delaware Bicentennial Calendar of Events  Sept/Oct,1976,1,391645
"Bicentennial Newsletters, Etc.",,Dover's Independence Festival  '76  (19),1976,1,391645
"Bicentennial Newsletters, Etc.",,Delaware American Revolution Bicentennial - Governor's Bicentennial Conference  (2 copies),1974,1,391645
"Bicentennial Newsletters, Etc.",,Bicentennial Committee of the City of Dover (letter inviting participation in the opening celebration..,1975-1976,1,391645
"Bicentennial Newsletters, Etc.",,"Bicentennial Bugle, September",1975,1,391645
"Bicentennial Newsletters, Etc.",,"Bicen Newsletter, Appoquinimink School District",1975,1,391645
"Bicentennial Newsletters, Etc.",,"Post Guide, September",1975,1,391645
"Bicentennial Newsletters, Etc.",,"Sussex Heritage Festival, Lewes, Delaware, Parade Orders",1975,1,391645
"Bicentennial Newsletters, Etc.",,GF [General Foods] News February - March (Article:  Three Cheers for the Dover Doodle Dandies),1976,1,391645
"Bicentennial Newsletters, Etc.",,Mississippi History Newsletter,1976,1,391645
"Bicentennial Newsletters, Etc.",,"Delaware American Revolution Bicentennial Commission, letter  re Battle of Cooch's Bridge",1977,1,391645
"Bicentennial Newsletters, Etc.",,Official Symbol of The American Revolution Bicentennial  (2 copies),1976,1,391645
Boundaries,"Douglas, Edward M.","Boundaries, Areas, Geographic Centers, & Altitudes of U.S. & Several Sts.",1930,2,390186
Boundaries,"Cope, Thomas D.",First Scientific Expedition of Charles Mason and Jeremiah Dixon,1945,2,390186
Boundaries,"Cope, Thomas D.",Apprentice Years of Mason And Dixon,1944,2,390186
Boundaries,"Houston, John W.",Address on the History of The Boundaries of the State of Delaware,1879,2,390479
Boundaries,,"Mason & Dixon's Line. Message of the Gov. of Maryland, Transmitting rept. ..",1850,2,390186
Boundaries,"Latrobe, John H.B.",History of Mason and Dixon's Line: An Address   (2),1854,2,390186
Boundaries,"Powell, Walter A.","Fight of A Century Between the Penns and The Calverts., Maryland Historical Magazine",1934,2,390186
Boundaries,"Cope, Thomas D.",Frame of Reference For Mason And Dixon,1945,2,390186
Boundaries,"Cope, Thomas D.","Zenith Sectors, & Discoveries Made w/them, Linked w/More Recent Events Pennsylvania",1944,2,390186
Boundaries,,Photos of Markers of 1849,1930,2,390186
Boundaries,,Mason And Dixon Line Bicentenary Commemoration Ceremony,1963,2,390186
Boundaries,,West Virginia History - A Quarterly Magazine,1952,2,390186
Boundaries,"Cope, Thomas D.","Pennsylvania History Vol. 6 No. 4, The Stargazers' Stone",1939,2,390186
Boundaries,"Cope, Thomas D.",More About Mason And Dixon (2),1949,2,390186
Boundaries,"Cope, Thomas D.","Charles Mason, Jeremiah Dixon and The Royal Society",1951,2,390186
Boundaries,"Cope, Thomas D.",Charles Mason And Jeremiah Dixon,1946,2,390186
Boundaries,"Cope, Thomas D. and Robinson, H.W.",When the Maryland-Pennsylvania Boundary Survey Changed from A Political & Legal Struggle..,1954,2,390186
Boundaries,"Robinson, H. W.",Jeremiah Dixon (1733-1779)- A Biographical Note  (2),1950,2,390186
Boundaries,"Cope, Thomas D.",Collecting Source Material About Charles Mason & Jeremiah Dixon,1948,2,390186
Boundaries,"Cope, Thomas D.","Degrees Along the West Line, The Parallel Between Maryland &  (2 copies)",1949,2,390186
Boundaries,"Cope, Thomas D.",Jersey Quadrant Used in Pennsylvania  (2),1953,2,390186
Boundaries,"Cope, Thomas D.",Some Local Scholars who Counselled the Proprietors of Pennsylvania & their Comm.....,1955,2,390186
Boundaries,"Robinson, H. W.",Astronomical Manuscripts Which Charles Mason Gave To Provost The ...,1952,2,390186
Illustrative Material,,Calendar for 1973-Vernon L. Good,1973,1,390515
Historical Society of Delaware,,1987 Annual Dinner The Historical Society of Delaware - A Tribute to Delaware's Historians,1987,5,390514
Historical Society of Delaware,,"Old Town Hall, Wilmington, Delaware",1958,5,390514
Health & Welfare,,Annual Report Blue Cross Blue Shield of Delaware,1992,4,390509
Cities & Towns,,"Duck Creek Cross Roads- Smyrna, Delaware Bicentennial, 1768-1968",1968,13,391658
Illustrative Material,,"Legislative Hall, Dover, Delaware  Christmas Card",n.d.,1,390515
Maryland,,Bibliography,n.d.,2,391642
Pennsylvania,"Faught, Albert Smith",An Early Chapter of the History of the Supreme Court of Pennsylvania,1942,1,391644
Maryland,,The Maryland Original Research Society of Baltimore,1910,2,391642
Dover Days,,Dover Day In Delaware  (article in Buick Magazine),1954,5,391648
Dover Days,,Sketch (map)  for Dover Day (2),n.d.,5,391648
Boundaries,,"Mason & Dixon Boundary and its markers; Mason Dixon Line, brief sketch",,2,390186
Agriculture,"Vaughn, Gerald F.","Harry Haywood, Pioneer of  Scientific Farm Management…",1993,1,390178
Agriculture,,The Delaware Agricultural Museum,1986,1,390178
Agriculture,,Mushroom News,1975,2,482941
Education,,Milford Adult Education Association  Fall 1968,1968,1,390491
Education,,Milford Adult Education Association  Fall 1969,1969,1,390491
Education,,Milford Adult Education Association Spril 1970,1970,1,390491
Education,,Milford Adult Education Association Spring 1976,1976,1,390491
Government & Politics,,Know Your Delaware,1957,1,390505
Churches,,Tricentennial Celebration-Lewes Presbyterian Church 1692-1992,1992,5,471252
Churches,,Mite Circle of WSCS-Ebenezer Church cookbook-Newark,1955,3,390190
Civil War,,Civil War Songs,,2,390474
Civil War,,The Greatest Document even penned by ..,,2,390474
Civil War,,"The Torbert Camp Journal, Vol I, nos. 1 to 4",1996,2,390474
Civil War,,Memo from Jack Matlack,,1,390473
Delaware Today,,Delaware Today magazine (incomplete),1970-1972,2,390479
Delaware Today,,Delaware Today magazine (incomplete),1973-1974,3,390480
Delaware Today,,Delaware Today magazine (incomplete),1975-1977,4,390481
Delaware Today,,Delaware Today magazine (incomplete),1982-1984,5,390482
Delaware Today,,Delaware Today magazine (incomplete),1985-1989,6,390483
Delaware Today,,Delaware Today magazine (incomplete),1990-1996,7,390484
Delawareana General,,Tours and Tourism,,2,390486
Delawareana General,,Environment,,2,390486
Delawareana General,,Folklore,1957-1977,2,390486
Delawareana General,"Hawkins, D.","Newspaper Article:  ""And We Kept On Keeping On""",1973,2,390486
Delawareana General,,Know Your Delaware,1957,2,390486
Delawareana General,,First Annual State House Symposium on Delaware History and Culture,1977,2,390486
Delawareana General,,I Remember When (Prize winning Reminiscences by Delaware area senior citizens).  2 copies,1979,2,390486
Delawareana General,,Delaware Small Wonder.A Forbes Special Advertising Supplement,,2,390486
Delawareana General,,"Delaware Small Wonder, packet",,2,390486
Delawareana General,,"Hagley Museum, School Program",n.d.,5,484186
Delawareana General,,The Hagley Museum,n.d,5,484186
Delawareana General,,Delaware Art Center,n.d.,5,484186
Delawareana General,,"Return Day, Georgetown, DE  (2 copies)",1996,5,484186
Delawareana General,,Delaware Insignia,n.d.,5,484186
Delawareana General,,"Invitation; launching of US Battleship No. 28, named Delaware",1909,5,484186
Delawareana General,,Delaware!,n.d.,5,484186
Delawareana General,,Wilmington Walking and Driving Tour,n.d.,5,484186
Delawareana General,,"Longwood Gardens, Kennett Square, Pennsylvania",n.d.,5,484186
Delawareana General,,The Henry Francis DuPont Winterthur Museum,n.d.,5,484186
Delawareana General,,Winterthur in Odessa,n.d.,5,484186
Delawareana General,"Roth, Bernhard A.",The Story of Pea Patch Island (article from Ford Times),1954,1,390485
Delawareana General,,Delaware,n.d.,3,390487
Boundaries,"Cope, Thomas D.",Some Contacts of Benjamin Franklin With Mason and Dixon And Their Work,1951,2,390186
Boundaries,"Cope, Thomas D.","Clock Sent Thither by the Royal Society"" Description of a Clock by ...",1950,2,390186
Boundaries,"Lloyd, H. Allan","Clock Sent Thither by the Royal Society"" Description of a Clock by ...",1950,2,390186
Boundaries,"Cope, Thomas D.",When the Stars interrupted the Running of a Meridian Line Northward up....,1956,2,390186
Boundaries,,"Gentleman's Magazine, and Historical Chronicle. Vol. 39 (photo copy)",1769,2,390186
Boundaries,,Dedication of Shelter over the Corner Stone and Middle Stone,1961,2,390186
Boundaries,,"Delaware Boundaries, List of Books",n.d.,2,390186
Boundaries,,Mason Dixon Line commemoration of the Resurvey of the Mason Dixon Line,1978,2,390186
Boundaries,"Cady, John Hutchins",Rhode Island Boundaries 1636-1936,1936,2,390186
Boundaries,"Cummings, Hubertis M.",Mason and Dixon Line Story for a Bicentenary 1763-1963,1963,2,390186
Boundaries,"Mahoney, William T.",Post Marked West on the Mason-Dixon Survey,1955,2,390186
Boundaries,,Report of The U.S. Coast and Geodetic Survey to The States of NJ & DE ....,1934,2,390186
Boundaries,"Wainright, Nicholas B.",Tale of A Runaway Cape - The Penn-Baltimore Agreement of 1732,1963,2,390186
Boundaries,"Miers, Earl Schenck",Border Romance: The Story of the Exploits of Charles Mason and Jeremiah Dixon,1965,2,390186
Boundaries,,"Survey of Delaware - Maryland Boundary Line for Sussex County, January",1953,2,390186
Boundaries,,U.S. Supreme Ct. No. 1 Original in Equity. The St. of NJ & The St. of DE,1905,2,390186
Boundaries,,Inventory of Documentary and other Material NJ - DE Boundary Case,n.d.,2,390186
Boundaries,,Newspaper Clipping - Mason Dixon Info.  (photo copy),n.d.,2,390186
Boundaries,,State Boundaries Sussex County,n.d.,1,390185
Boundaries,"Hodgkins, W. C.",GEODESY  An Historical Account of Boundary Line Between the States of Pennsylvania & Delaware 1893,1894,1,391644
Boundaries,"Bayliff, William H.",Maryland-Pennsylvania and The Maryland-Delaware Boundaries,1959,1,390185
Boundaries,"Cope, Thomas D.",Mason and Dixon - English Men of Science (3),1949,1,390185
Boundaries,"Cope, Thomas D.",Westward Five Degrees in Longitude (2 copies),1948,1,390185
Boundaries,"Cope, Thomas D.",Collecting Source Material About Charles Mason and Jeremiah Dixon,1948,1,390185
Boundaries,"Robinson, H. W.",Note on Charles Mason's Ancestry and his Family(3  copies),1949,1,390185
Boundaries,"Hayes, J. Carroll",Delaware Curve - The Story of the Pennsylvania-Delaware Circular Boundary,n.d.,1,390185
Boundaries,,Condition of the Monuments on the East-West Boundary Between Maryland & Delaware,1950,1,390185
Boundaries,"Grincewich, Robert O.",Delineations of Sussex Co. Delaware.  A Survey of the Mason-Dixon Line,1975,1,390185
Boundaries,,State Boundaries - New Castle County,1952,1,390185
Boundaries,,State Boundaries - Kent County,n.d.,1,390185
Boundaries,,Kent County Boundary Survey,n.d.,1,390185
Boundaries,"Perry, Lynn",Circular Boundary of Delaware (7 copies - printed),1934,1,390185
Census,,Fifteenth Census of the US: 1930 - Population Bulletin First Series,1931,1,390187
Census,,1958 Census of Manufactures - Announcement and Order Form,1958,1,390187
Census,,Philadelphia Regional Office - Census Data Highlights Vol. 5 No. 2,1986,1,390187
Census,,Your Guide to Census 80,1980,1,390187
Census,,Annual Report of the Immigration and Naturalization Service,1960,1,390187
Census,,Census 70,1970,1,390187
Census,,Population of Delaware Counties & Towns 1960 and 1967,n.d.,1,390187
Census,,Vital Statistics-Special Report - Delaware Summary of Vital Statistics,1940,1,390187
Census,,Data & Dollar 1980 Census of Population & Housing / 1982 Economic Censuses,n.d.,1,390187
Census,,Monthly Product Announcement,1986,1,390187
Census,,Delaware- 1984 Population & 1983 Per Capita Income Estimates for Co.'s & Incor.,1986,1,390187
Census,,1950 Census of Population - Advance Reports,1951,1,390187
Census,,Delaware St. Development Department Population 1960 Kent Co.,1960,1,390187
Census,,1950 Census of Population Preliminary Reports,1951,1,390187
Census,,"1958 Census  of Manufactures, Preliminary General Statistics",1959,1,390187
Census,,New Census Reports,1959,1,390187
Census,,1962 Annual  Survey of Manufactures,1964,1,390187
Census,,Change in Values Added by Manufacture ($ Million),1964,1,390187
Census,,Census of Manufactures 1947,1949,1,390187
Census,,Delaware's Population 1967 - A Summary Report of the Special Census,1968,1,390187
Census,,Vital Statistics-Special Reports - Delaware Summary of Vital Statistics,1938,1,390187
Census,,Thirteenth Census of the United States Taken in the Year 1910,1913,1,390187
Census,,16th Census 1940 Population 1st. Series No. of Inhabitants Delaware,1941,1,390187
Census,,16th Census 1940 Population Unincorportated Communities U. S. by States,1943,1,390187
Census,,United States Censu of Housing 1960 Delaware - State and Small Areas,1961,1,390187
Census,,1950 United States Census of Housing - Delaware,1952,1,390187
Census,,1960 U. S. Census of Population Delaware - Number of Inhabitants,1960,1,390187
Census,,1960 U. S. Census of Population Delaware - General Population Characteristics,1960,1,390187
Census,,1960 U. S. Census of Population Delaware - General Social & Economic Character..,1960,1,390187
Census,,1960 U. S. Census of Population Delaware - Detailed Characteristics,1960,1,390187
Census,,1950 U. S. Census of Population Delaware - Number of Inhabitants,1950,1,390187
Census,,1950 U. S. Census of Population Delaware - General Characteristics,1950,1,390187
Census,,1950 U. S. Census of Population Delaware - Detailed Characteristics,1950,1,390187
Census,,"Jewish Population of Northern Delaware 1962, a Demographic Study",1962,1,390187
Census,,1980 Census Information Kit,1980,1,390187
Churches,,Minutes of the Delaware Old School Baptist Association,"1899, 1905, 1906",1,390188
Churches,,"One  Hundredth Anniversary, First Baptist Church, Dover, Delaware",1950,1,390188
Churches,,"First Swedish Baptist Church, Wilmington, DE",1939,1,390188
Churches,,Minutes of the Salisbury Baptist Association,1853,1,390188
Churches,,"One Hundredth Anniversary,Second Baptist Church",1935,1,390188
Churches,,Minutes of the Annual Meeting of the Union Baptist Assoc of Maryland and  ..,1917,1,390188
Churches,,"History of  the Welsh Tract Baptist Church, Pencader Hundred..",n.d.,1,390188
Churches,,"Christ Our King Church, Wilmington, Delaware",1958,6,482956
Churches,,Re-dedication of Coffee Run Cemetery,1952,6,482956
Churches,,Holy Cross Gymnasium Dedication,1962,6,482956
Churches,,"Rededication of the reconstructed St. Ann's Church, Wil…",1935,6,482956
Churches,,"St. Anthony's, Wilmington, DE Jubilee of Parish and Pastor",1949,6,482956
Churches,,Dedication of the new St. Elizabeth's Church,1947,6,482956
Churches,,"Church of St. Mary of the Immaculate Conception, Wilmington,",1958,6,482956
Churches,,"St. Paul's Parish, Wilmington Delaware",1957,6,482956
Churches,,"Christ Church, Broad Creek Hundred, 1771-1772 ""Old Lightwood""",n.d.,1,390188
Churches,,Fiftieth Anniversary Peoples Church Congregational Christian,1959,1,390188
Churches,,"Christ Church, Dover, Delaware *You're Invited*",n.d.,1,390188
Churches,,"The Diocese of Delaware, It's Historical, Parish and Mission Chur…",n.d.,1,390188
Churches,,"Cathedral Church of St. John, Wilmington V.1, #1,2,3,4",1947,2,390189
Churches,,Christ Church - Milford -  Historical Sketch,1941,2,390189
Churches,"Rodney, Richard S.","Immanuel Church, New Castle",1944,2,390189
Churches,,"Prince George's Chapel, Dagsboro.Candlelight Concert",1975,2,390189
Churches,,"St. Andrew's Church, Wilmington A Brief History of the Par..",1930,2,390189
Churches,,St. George's Chapel Progress Report No. 4 and 5,1966,2,390189
Churches,,"St. Helena Parish, Wilmington The Order of Service for the Ordination of",1986,2,390189
Churches,,"St. John's Parish, Wilmington 1857-1957",1957,2,390189
Churches,,"St. Mary and St. Peter's Church, Wilmington",1952,2,390189
Churches,,"The Dedication Service of St. Matthew's Episcopal Church, Wilmington, DE",1950,2,390189
Churches,,"17th Annual Antiques Show   St. Paul's Parish House, Georgetown",1970,2,390189
Churches,,"St. Paul's Episcopal Ch. Camden, DE  Institution of the First Rector; Recipe for Life;  Baldwin Organ -Model 6",1961,2,390189
Churches,,"The Parish of St. Peter,  Lewes, Sussex, Delaware",1939,2,390189
Churches,,"History of St. Thomas'  Church, 1842-1895",1895,2,390189
Churches,,"Old Christ Church, Broad Creek, St. Philips Parish, Laurel, Delaware song",n.d.,2,390189
Churches,,Greek Orthodox  Names That Live,1939,2,390189
Churches,,Dedication Exercises of the New St. Joseph's Church,1948,6,482956
Churches,,"Holy Trinity Old  Swedes Church, Wilmington, Delaware",n.d,2,390189
Churches,,"Jewish Delaware 1655-1976 History Sites, Communal Services",1976,2,390189
Churches,,"Jewish Community Center, Wilmington, Delaware Philosophy and Program",n.d,2,390189
Churches,,First Harvest Four Sermons by Rabbi Alvin I. Fine,1942-1943,2,390189
Churches,"Sweeney, J.","Lutheran Church to 1700, with Chronology of Crane Hook Church",1940,3,390190
Churches,,"Zion Evangelical Lutheran Church, Wilmington 1848-1938",1938,3,390190
Churches,,"One Hundred Thirty-Sixth Anniversary of Methodism in Bridgeville, Delaware and homecoming",1945,3,390190
Churches,"Caley, George L.","History of Asbury United Methodist Church, Smyrna, Delaware.  3 copies.",1972,3,390190
Churches,,"""The Methodist"" Vol. 2, No 2, 3, 6",1890,3,390190
Churches,,"One Hundred and Sixtieth Anniversary, Asbury Methodist. Church, Wilmington",1949,3,390190
Churches,,One Hundred Fifty-one Years of Service  Bethesda M. E. Church,1936,3,390190
Churches,,Information Manual and Schedule of Presiding Elders…..,1968,3,390190
Churches,,"Mt. Calvary A.M.E. Church, Concord, DE 1760-1970",1970,3,390190
Churches,,"St. Paul's Methodist Episcopal Church, Odessa",1932,3,390190
Churches,,"St. Paul's M. E. Church, Wilmington, DE Souvenir Calendar",1919,3,390190
Churches,"Barratt, Hon. Norris S.",Barratt's Chapel and Methodism,1911,3,390190
Churches,,"Bethel Methodist Church, Lewes",1950,4,390191
Churches,,Calvary Methodist Church Fiftieth Anniversary and Dedication,1960,4,390191
Churches,"Hallman, E. C.","History of Centenary Methodist Church, Laurel",1942,3,390190
Churches,,"History of Felton Methodist Church Felton, Delaware 1860-1960",1960,4,390191
Churches,"Deakyne, J. Fletcher","A Historical Sketch of Old Friendship Church, the present Friendship  Church Cemetery and Friendship Church Community of Blackbird Hd.",1943,4,390191
Churches,,"Brief Article on Harrison Street Methodist Church, Wilmington, DE",1941,4,390191
Churches,,Funds Sought for Church Restoration (Hebron Chuch),n.d.,4,390191
