Input Order,Gen Reference,Title,Description,Dates,Folder,Keywords,Notes
24,18,Library Commission,Miscellaneous records,,,Library Commission,
25,19,"John Adams - Letter ""To the Militia of Sussex County""",Photostat of 1798 letter from President John Adams to the Militia of Sussex County,1798,,"President, John Adams, Sussex County, Militia, Military",
26,20,General Henry Lockwood - Virginia Magazine,"""Federal Policy Toward the Eastern Shore Virginia  in 1861, Virginia Magazine, October 1961.",,,"Lockwood, Civil War, Military, Virginia",
27,21,Caesar Rodney - U.S. Postal Card,1976 U.S. Postal Card of Caesar Rodney,1976,,Caesar Rodney,
28,22,Augusta College Theological Seminary,"Program for ""The Seventy-eighth Annual Convocation.""",1938,,Swedes,
29,23,Americana In Holland,Booklet,,,"Dutch, Holland, Netherlands",
30,24,Necrological Report - Princeton Theological Seminary,Biography on page 47 for Thomas Grier Murphey a Kent County Native.,1878,,Thomas Grier Murphey,
31,25,Papers in the Historical Society of New York,"Transcription of notes taken by Major Allen McLane; Papers in New York Historical Society about Delaware, mostly Allen McLane materials; Ullman Exchange-Delaware Material in New York",,,"Allen McLane, Revolutionary War, Military, New York, Rodney Family",
32,26,New Castle - Frenchtown Railroad,Correspondence of W.D. Lewis (Photostats).,Cir. 1832,1,"Transportation, New Castle, Frenchtown, Railroad, Turnpike",
33,26,New Castle - Frenchtown Railroad,Miscellaneous Manuscripts; correspondence.,Cir. 1828,2,"Transportation, Railroad, Turnpike, New Castle, Frenchtown",
34,26,New Castle - Frenchtown Railroad,Miscellaneous Manuscripts,1818-30,3,"Transportation, New Castle, Frenchtown, Railroad, Turnpike",
35,26,New Castle - Frenchtown Railroad,Miscellaneous Manuscripts,1830-31,4,"Transportation, New Castle, Frenchtown, Railroad, Turnpike",
36,26,New Castle - Frenchtown Railroad,Miscellaneous Manuscripts,1831-32,5,"Transportation, New Castle, Frenchtown, Railroad, Turnpike",
37,27,Necrology of United States Senators,Listing of U.S. Senator's birth and death dates as of March 1961,,,Senators,
38,28,Delaware & Chesapeake Canal,,,1,"Canal, Delaware, Chesapeake",
39,28,Delaware & Chesapeake Canal,,,2,"Canal, Delaware, Chesapeake",
40,29,The Picket Post,"Article in the January 1949 issue, ""Delaware Interests in Valley Forge.""
Article in the February 1955 issue, ""Delaware State Day Address.""",,,"Delaware Day, Revolutionary War, Military, Valley Forge, Pennsylvania",
41,30,Slavery/Abolition,"Miscellaneous Photostats and Manuscripts; manumissions, abolitionist tract.  Frederick Douglas escape through Delaware.  Investigation by Abolition Society of Del. of two girls being kidnapped and sold, in Port Penn (nd).",,1,"Slavery, Abolition, Thomas Garrett",Signature of Thomas Garrett
42,31,"Gilpin, Joseph","Letter from Joseph Gilpin regarding a Latrobe ""Map of the Peninsula"" April 12, 1822",1822,,"Gilpin, Latrobe, Map of the Peninsula",
43,32,Delaware Poetry,"Delaware Poets 1949-1950, Miscellaneous Manuscript Poems",1784-1950,,Poetry,
44,33,Draw Bridges,"Papers concerning the act entitled ""An act to incorporate a company to erect a drawbridge over the Christiana at Wilmington and for other purposes"" passed at Dover January 29, 1807.",1806-1835,,"Draw Bridges, Christiana, Wilmington, Transportation",
45,34,Webb Phase Indians - Island Field Site,"1975 article from ""Delaware Antiques"" concerning the Island Field Site",1975,,"Indians, Nanticoke, Island Field, Ronald Thomas",
46,35,"Philadelphia, Wilmington, and Baltimore Railroad Company",Miscellaneous Manuscript Papers,1832-1965,1,"Railroads, Philadelphia, Wilmington, Baltimore, Transportation",
47,35,"Philadelphia, Wilmington, and Baltimore Railroad Company",Miscellaneous Manuscript Papers,1832-1965,2,"Railroads, Philadelphia, Wilmington, Baltimore, Transportation",
48,36,Wilmington Borough,Photostat copies of documents relating to the incorporation and development of the city of Wilmington,1736-1779,1,"Wilmington, Willington",
49,37,Lottery for Improvement of Navigation - Broad Creek Hundred,"Typescript of an ""Act to enable Jonas Dawson to raise the Sum of Three Thousand Dollars, by lottery for the purposes therein mentioned.""",1803,1,"Navigation, Lottery, Lighthouse, Mispillion, Broad Creek",
50,37,Lotteries,"Miscellaneous photostat and manuscript papers, included in the folder are correspondence, a State House lottery handbill, lottery posters and handbills",1772-1861,2,"Lottery, State House",
51,37,Lotteries,List of Lottery Papers in the Legislative File,,,Lottery,
52,37,1813 Newark Street Lottery,Correspondence regarding the 1813 Newark Street Lottery,1813,,"Lottery, Newark",
53,37,State of Delaware Lottery of 1852,Lottery tickets,1852,,Lottery,
54,38,Pages from the Past - Dover Post,Articles written for the 1976 celebration of the bicentennial that appeared in the Dover Post,1976,,"Delaware History, Pages from the Past",
55,39,Netherlands Documents Relating to New Castle,Photostats of documents relating to the Dutch settlement of New Castle,1656-1662,,"Dutch, New Castle",
56,39,Dutch House - New Castle,1948 Article on the Dutch House in New Castle,1948,,"Dutch House, New Castle",
57,40,French Spoliation Claims,United States House of Representatives Report on the claims of American citizens for reported illegal search and seizure of their vessels by the French Republic.  Also included is a deposition regarding on specific event that occurred off Cape Henlopen,1793-1838,,"French Spoliation Claims, Cape Henlopen",
58,41,Wilmington and Susquehanna Railroad,Miscellaneous Manuscript Papers- 1835 Memorial for several citizens in New Castle County; 1835 Resolution from the Board of Directors of the W.&S. RR; copy of tan 1839 Act of the General Assembly.,1835-1839,,"Railroad, Wilmington, Susquehanna, Transportation",
59,42,Delaware - National Standing,"Article ""The Worst American State"" - 1972",1972,,"Statistics, Delaware",
60,43,Geological Survey,Second Annual Report of the Geological Survey of the State of Delaware,1839,,Geological Survey,
61,41,Trappe Pond - Nomenclature,Brief description of the origin of the name,,,Trappe Pond,
62,45,Wilmington Whaling Company,Articles and manuscripts concerning the Wilmington Whaling Company,,,Wilmington Whaling Company,
63,46,Canal Commission,Auditor of Accounts report of the commission to survey and lay out canals,1835,,"Canal, Transportation",
64,47,Laws Regarding Sex Discrimination in Educational Institution,Federal Laws and Regulations Concerning Sex Discrimination in Educational Institutions,1972,,"Education, Law, Sex Discrimination",
65,48,"Delaware Constitution Convention (August 27-September 21, 1776)","Typescript of ""An address delivered at the opening of the Election in Dover for the Choice of Members of Convention, August 19, 1776""",1776,1,"Constitution, Convention, 1776",
66,48,"Convention to Ratify Constitution of the United States, 1787",Typescripts of newspaper articles regarding the Delaware Convention to Ratify the US Constitution,1787,2,"Ratification, Ratify, Constitution, 1787, Convention",
67,48,Constitution of 1792,Photostat of the 1792 Delaware State Constitution,1792,3,"Constitution, 1792",
68,48,Constitution of 1831,Paper by William H. McCauley concerning the Delaware Constitutional Convention of 1831,,4,"Constitution, 1831, Convention, McCauley",
69,48,"Delaware Constitutional Convention, 1831",Amendments to the 1831 Constitution,1831,now in RG 1102,"Constitution, 1831, Convention, Amendments",Removed to RG 1102
70,48,"Delaware Constitution of 1853, Manuscript Copy of",Manuscript copy of the 1853 Delaware Constitution,1853,now in RG 1102,"Constitution, 1853",Removed to RG 1102
71,48,"Delaware Amended Constitution of 1853, Published","Published copy of the 1853 Delaware Constitution, adopted in convention on April 29, 1853",1853,a,"Constitution, 1853",eight copies
72,48,Delaware Constitutional Convention of 1897,First Report of the Committee of Agriculture,1897,b-1,"Constitution, 1897, Agriculture",
73,48,Constitution of 1897 - Amendments - Proposed and Adopted,Constitution of 1897 - Amendments - Proposed and Adopted,1897,b-2,"Constitution, 1897, Amendments",
74,48,Delaware State Constitution,"Miscellaneous notes, pamphlets, newspaper articles; VA Declaration of Rights (1776) & DE Declaration of Rights (1776) with notes on the two, address on George Mason from Director of the National Capital Sesquicenttennial Commission, 1949",,b-3,"Constitution, Delcarations of Rights, George Mason, National Capital Sesquicenteenial",
75,48,"""Our Heritage"" Delaware Constitution Sesqui Ode","Correspondence and sheet music for ""Our Heritage"" words by Capt. Herman H. Hanson, composed by T. Leslie Carpenter",1937,c,"Constitution, Our Heritage, Leslie Carpenter, Herman Hanson",
76,48,Federal Constitution of 1787,Miscellaneous papers concerning the ratification of the US Constitution,,d-1,"Constitution, 1787, Ratification",
77,48,Federal Constitution - Expenses Incurred During Ratification,List of expenses incurred during ratification of the US Constitution,,d-2,"Constitution, 1787, Ratification",
78,48,Amendments to the Federal Constitution,"Ratification of the 13th, 14th, 15th, 16th, 19th, 20th, 21st, 27th, Bill of Rights",,e,"Constitution, Amendments, Bill of Rights",
79,48,Constitution - Bicentennial,"Miscellaneous notes, pamphlets, newspaper articles, ""The Opening of Constitution Park""; program",,f,"Constitution, ratification",
80,49,"Sick Report - 1863, Company E, 4th Regiment, Delaware Infantry Volunteers","Civil War Sick Report for Company E, 4th Delaware Infantry Volunteers, January - June 1863 transcribed by Howard Bock",1863,,"Civil War, 4th Delaware Infantry, Military",
81,50,"Blue Ball, Concord Pike",Miscellaneous information regarding the Blue Ball barn and tavern on Concord Pike in New Castle County,,,"Blue Ball Barn, Concord Pike, Tavern",
82,51,Mail Stage,Article of Agreement made to run the mail stage from Wilmington to Georgetown,1820,,"Mail Stage, Wilmington, Georgetown",
83,52,"National Governor's Association - Seminar for New Governors, 1998",National Governor's Association - Seminar for New Governors held in Wilmington in November of 1998,1998,,"National Governor's Association, Wilmington",
84,53,Delaware Banking,"Miscellaneous publications.  Millsboro Trust & Safe Deposit Company financial report, 1919.  ""Little Delaware's Powerful Lure for Big Banks,"" 1983.",,,Banking,
85,54,State Assets,"""A statement of the funds belonging to the State and School fund and the value thereof.""",1850,,State Assets,
86,55,"Marshes, Kent County, Duck Creek, Little Creek, St. Jones","An article entitles ""Draining Marsh and Meadow Land"", and manuscript regarding the marshes in Little Creek, St. Jones and Duck Creek Hundred",1818,,"Marsh, Duck Creek, Little Creek, St. Jones Meadow",
87,56,"Girls' State, Inc.",Girls' State program for the 34th annual session,1976,,Girls' State,
88,57,Lighthouse - Lewes,Manuscripts relating to the Lewes Lighthouse,1855-1880,,"Lighthouse, Lewes, Navigation",
89,58,State Statistics,"""Statistics for the State of Delaware for the year 1847""",1847,,"Statistics, Agriculture",
90,59,Old Custom House,Letter regarding the Historical Society of Delaware's bid to purchase the old Custom House in Wilmington,1964,,"Custom House, Wilmington, Historical Society of Delaware",
91,60,Roads - Mahon Marsh,"Survey, photostat of letter and ""An Account of the Distances From the City of Philadelphia""",,,"Roads, Transportation, Mahon Marsh",
92,61,Christiana Canal Company,Financial report,1845,,"Christiana Canal Company, Transportation",
93,62,State House,Miscellaneous articles and reports regarding the history and restoration of the State House in Dover,,,"Dover, State House, Capital, Restoration",
94,63,Formal Presentation of the Portraits of the Governors of Delaware,Program,1898,,"Portraits, Governors",
95,64,Probate Records in England Regarding Delaware Citizens,Abstracts of Wills in England regarding people residing in Delaware,1680-1833,,Probates,
96,65,Sunshine Law,"""Guidelines of the Delaware Sunshine Law""",,,Sunshine Law,
97,66,Great Geneva,Survey and sketches,,,"Great Geneva, Dover",
98,67,"Early Man at Holly Oak, Delaware","""Early Man at Holly Oak, Delaware"" by John C. Kraft and Ronald Thomas",,,"Pre-Historic Man, Archeology, Natural History",
99,68,New Castle - Piers at,"Account of Kensey Johns, Treasurer of the New Castle Pier Lottery, concerning the erection of the sunken pier off Delaware Street",1804,,"Lottery, New Castle Pier",
100,69,"Society of the Cincinnati, Monument of the Green",Articles and copies of letters regarding the Society of the Cincinnati Monument,,,"Revolutionary War, Society of the Cincinnati, Monument, Green",
101,70,The Development of the Law of Gambling: Delaware,"Paper entitled ""The Development of the Law of Gambling: Delaware""",1975,,"Gambling, Law, Lottery, Horse Racing",
102,71,"Mount Pleasant Meeting, History of","Paper by Herbert T. Pratt entitled ""A History of Mount Pleasant Meetinghouse",,,"Herbert Pratt, Mount Pleasant Meetinghouse Methodist",
103,72,New Castle and Delaware River Ferry,"Manuscript ""Certificate of D. Finny on the claim of Geo. Monro et.al. for an exclusive right to a Ferry""",1793,,"Ferry, Transportation, New Castle",
104,73,"Grammar School, Wilmington",Incorporation document for a Grammar School in Wilmington,1773,,"Education, Grammar School, Wilmington",
105,74,Treaty of Peace Between Indians and the United States 1795,Treaty of Peace Between Indians and the United States 1795,1795,,"Indians, Treaty",
106,75,New Sweden,"Brochures, articles and miscellaneous documents concerning the 350th Anniversary of the settlement of New Sweden",1988,1,"New Sweden, Colonial, Anniversary",
107,76,Capital Mineral Water Works,Photo and brief sketch of the Capital Mineral Water Works,,,"Capital Mineral Water Works, Dover, Industry",
109,78,Kingston - Upon - Hull,"Paper by James B. Jackson entitled ""Kingston-Upon-Hull:  The Early History of a Prominent Kent County Farm.""",1963,,"James Jackson, Kingston - Upon - Hull, Agriculture, Farm, Kent County",
110,79,"William Penn, (Manor)",Survey of land in New Castle County,,,"William Penn, Survey, New Castle County",
111,80,Sorcery,"Article ""On Hegel - A Study in Sorcery""",,,"Hegel, Sorcery",
112,81,Delmarva Chicken Festival,"Miscellaneous brochures, advertisements and correspondence regarding the Delmarva Chicken Festival",1950,,"Delmarva Chicken Festival, Dover, Poultry",
113,82,Delaware River and Bay Authority,"New Release regarding the opening of the Cape May-Lewes Ferry;  History of the Cape May-Lewes Ferry, 2004;","1965, 2004",,"Delaware River and Bay Authority, Cape May Lewes Ferry, Transportation",
114,83,Kent County Land Record,,1712,,"Deed, Land Record, Kent County",
115,84,Oration by Daniel Webster,Newspaper clipping of Daniel Webster's 1802 fourth of July speech.,1802,,Daniel Webster,
116,85,Maryland and Delaware Railroad,Trip ticket and document concerning the compensation of Samuel Griffin of Duck Creek for the rights to lay tracks through his land,1857-1875,,"Railroad, Maryland Delaware, Transportation, Duck Creek, Samuel Griffin",
117,86,Mill Condemnations,Photostats of mill condemnations found in the holdings of the Historical Society of Delaware,1763-1773,,Mill Condemnations,
118,87,Harbordt House,"Preliminary measured drawings of Harbordt House, Dover",,,"Harbordt House, Dover, King Street",
119,88,Continental Emission,Account of taxes paid by the state of Delaware to the United States government,1780,,"Continental Emission, Tax, United States",
120,89,Genealogical Source Material,Guides to the records of the Friends Hall of Records and the National Archives,,1,"National Archives, Friends Hall of Records, Guide",
121,90,Bohemia Manor,"Photocopy of ""An act to enable certain Commissioners to make Petition of a Tract or Parcel of Land called Bohemia Manor..."", also ""Ancient Families of Bohemia Manor"" by Rev. Charles Mallery","1789, 1888",,"Bohemia Manor, New Castle County, Bayard Family",
122,91,Prince Georges Chapel,Newspaper clippings and letters concerning Prince Georges Chapel,1865-1878,,"Prince Georges Chapel, Dagsborough, Protestant Episcopal",
123,92,Historic Markers,Description of the Historic Markers throughout Delaware,,,Historic Markers,
124,93,Warrants and Surveys,"""Warrants and Surveys of the Province of Pennsylvania including the Three Lower Counties""",1759,,"Warrants and Surveys, Pennsylvania, Three Lower Counties, Land Records",
125,94,Tract Names,Tract Names for Delaware in Pennsylvania Records; Sussex County Tract Names,,,"Tract Names, Pennsylvania, Land Records",
126,95,Articles of Confederation,Photocopy of the Articles of Confederation,1778,,"Articles of Confederation, John Dickinson",
127,96,Nicholas Way - Loan to State,Photocopy of loan made by Dr. Nicholas Way to the state of Delaware,1776,,"Loan, Nicholas Way",
128,97,"Indian Lands Near Laurel, Delaware","Manuscript describing the ""Indian Lands"" near Laurel.  ""The Nanticoke Indian Foundaton of the Present-Day Broad Creek Site of Laurel Delaware,"" n.d.",1810-1811,,"Indian lands, Laurel, Native American",
129,98,United States Gazette,"Issue of the United States Gazette for June 2, 1813",1813,,"United States Gazette, Newspaper, Naamans Creek",
130,99,New Castle County Court House,Miscellaneous documents regarding the New Castle County Court House,,,"Court House, New Castle County, Government",
131,100,Civil War Claim Attorneys,Advertisement for a Law Office,1862,,"Civil War, Attorney, Law, Claimants",
132,101,Foreigners etc. in the Mexican States,"Pamphlet on ""Serious Actual Dangers of Foreigners and Foreign Commerce in the Mexican States""",1826,,"Mexico, Travel, Commerce, Trade",
133,102,British Colonial Intercourse,"Pamphlet on ""Remarks on the Report of the Committee of Commerce of the Senate of the United States, ..., on the British Colonial Intercourse""",1826,,"Senate, Commerce, Trade, Britain, Colonial, Intercourse",
134,103,Secretary of State,Letters of the Secretary of State to the Governor's office of every state in the Union requesting the signature of the governor and the state seal of that state.,1897,,"Secretary of State, State Seals, Governor",
135,104,McCauley (McColley) Pond,Brief historical sketch of the McCauley family,1983,,MCauley McColley Pond,
136,105,Hygenia House,"Letter referring to a Smyrna Times article in the Feb. 17, 1969 issue regarding the Hygenia House",,,"Smyrna, Hygenia House",
137,106,Wilmington Colonization Society,Delaware General Assembly resolution to support the Wilmington Colonization Society to further promote the removal of free blacks to the coast of Africa,1827,,"Wilmington Colonization Society, free blacks, slavery, American",
138,107,Silkworm Culture,"1935 Newspaper article ""The Mulberry Tree Lobby and the Silkworm Craze That Once Swept All Over Delaware"", Petition of Jehu Reed regarding the 1829 resolution passed by the Legislature for ""the Encouragement of Raising Italian White Mulberry with a view of Raising Silk Worms""",1836-1935,,"Silkworm, Agriculture, Mulberry Tree Lobby, Jehu Reed",
139,108,Expedition Against Canada 1746-1747,Account Book and Session Docket of 1769 which refers to the expedition against Canada,1768,,"Canada, Expedition Against, War, John Shannon",
140,109,Bikeology,"3 issues of ""Bikeology Bulletin""",1976-1977,,"Bickeology Bulletin, Recreation",
141,110,State Archivists and Public Archives Commission Members,Civil List,1913-1990,1,"Civil List, State Archivist",
142,110,Attorney Generals,Civil List,1723-1995,2,"Civil List, Attorney General",
143,110,State Auditors,Civil List,1787-1989,3,"Civil List, State Auditor",
144,110,Chancellors,Civil List,1793-1985,4,"Civil List, Chancellor",
145,110,Chief Justices,Civil List,1707-1974,5,"Civil List, Chief Justice",
146,110,Congress - Senators and Representatives,Civil List,1789-1992,6,"Civil List, Senator, Representatives, Congress",
147,110,State Election Commissioners,Civil List,1969-1990,7,"Civil List, Election Commissioner",
148,110,General Assembly,"Civil List - Includes detailed lists on the 126th G.A. to the 133nd G.A., and a list of the first female senator and representative and the first Afro-American representative",,8,"Civil List, General Assembly, Senators, Representatives, Women, Afro-American",
149,110,General Assembly,"Civil List - Includes detailed lists on the 123rd - 124th and the 134th G.A. to the 139th G.A., 143rd, 146th-149th G.A..  ""A Women's History Month Celebration Honoring the Lives and Accomplishments of Women Who Have Served in Delaware's General Assembly"" program, with list of female legislators, 1924-2003.","1965-1968, 1984-1994, 2005-2006, 2011-2017",9,"Civil List, General Assembly, Senators, Representatives",
150,110,Governors - Delaware,Civil List,1638-1994,10,"Civil List, Governors",
151,110,Insurance Commissioners,Civil List,1879-1993,11,"Civil List, Insurance Commissioners",
152,110,Justices of the Peace,Civil List - Includes all counties,1966-1987,12,"Civil List, Justice of the Peace",
153,110,Lieutenant Governors,Civil List,1900-1992,13,"Civil List, Lieutenant Governors",
154,110,"Officers of Saint Jones County (Kent)
See Misc. 286",Transcripts of early court records listing public officials,1680-1683,14,"Civil List, Kent County, Saint Jones County, Justices, Sheriff, Surveyor",
155,110,Secretary of State,Civil List,1778-1994,15,"Civil List, Secretary of State",
156,110,New Castle County Sheriffs,Civil List,1682-1977,16,"Civil List, New Castle County Sheriff",
157,110,Sussex County Sheriffs,Civil List,1802-1856,17,"Civil List, Sussex County Sheriff",
158,110,State Officers,Civil List - Miscellaneous,,18,"Civil List, State Officers",
159,110,Sussex County Elected Officials,"Civil List - Clerk of the Peace, Coroner, Comptroller, Clerk in Chancery, Recorder of Deeds, Recorder of Wills, County Treasurer, Sheriff, Prothonotary, Levy Court, County Council",1948-1986,19,"Civil List, Sussex County",
160,110,State Treasurers,Civil List,1778-1983,20,"Civil List, State Treasurers",
161,110,United States Officers and Officials in Delaware,Civil List,1932,21,"Civil List, United States Officers",
162,110,"Wilmington - City Council, Mayor, Clerk",Civil List,1832-1987,22,"Civil List, Wilmington, Mayor, City Council, Clerk",
163,113,"Ships named Delaware, MacDonough, Jacob Jones",Copies of pamphlets and articles regarding Ships named after Thomas MacDonough and Jacob Jones,,,"Ships, Thomas MacDonough, Jacob Jones, War of 1812",
164,114,Delaware College,"Miscellaneous correspondence, pamphlets and newspaper clippings regarding Delaware College (University of Delaware)",1877-1991,1,"Delaware College, University, Manlove Hayes",
165,114,University of Delaware,Brief history and miscellaneous announcements regarding the University of Delaware,,2,University of Delaware,
166,114,University of Delaware Accessions,"""Recent Additions to the Delawareana Collection of the University of Delaware Library""",1938-1945,3,"University of Delaware Library, Delawareana",
167,114,University of Delaware Accessions,"""Recent Additions to the Delawareana Collection of the University of Delaware Library""",1946-1958,4,"University of Delaware Library, Delawareana",
168,114,University of Delaware Marine Laboratories,"Article by Carl Schuster, Jr. ""University of Delaware Marine Laboratories""",1957,5,"University of Delaware Marine Laboratories, Bayside Laboratory",
169,114,Delaware College,"Miscellaneous transcripts regarding the founding and the history of Delaware College, contains a civil list for the Principals of Newark Academy/College",,6,"University of Delaware, Delaware College, Civil List, Principals",
170,114,Delaware College,Miscellaneous newspaper articles regarding Delaware College,1933-1936,7,"University of Delaware, Delaware College",
171,115,Voting (18 years old),"Senate Concurrent Resolution Number 13 ""Relative to the Proposed Amendment to the Constitution of the United States Extending the Right to Vote to Citizens Eighteen Years of Age or Older""",1971,,"Constitutional Amendment, Vote",
172,116,United States Congress,"Minutes of the 1st Congress, 1789-1791",,,United States Congress,
173,117,Hudson - deVries State Commission,Letter head from the Hudson - deVries State Commission,,,Hudson - deVries State Commission,
174,118,George V. I. Massey,Miscellaneous newspapers articles,,,George Valentine Massey,
175,119,Elk & Christiana Turnpike Co.,Manuscript regarding the examination of a road built between Christiana and the Maryland border,1817,,"Elk & Christiana Turnpike Company, William Cooch, Transportation",
176,120,Wilmington Turnpike Company,"Miscellaneous manuscripts, mainly financial accounts",1817-1831,,"Wilmington Turnpike Company, Transportation",
177,121,Cape Henlopen - Grant of Land by Court,Manuscript copy of the grant and warrant conveying Cape Henlopen to Edmond Warren (1682) and the people of the Town of Lewes (1736),,1,"Cape Henlopen, Edmond Warren, Lewes",
178,121,Lewes-town,Miscellaneous manuscripts,,2,Lewes,
179,122,Pilots and Mariners,"Miscellaneous manuscripts, contains original pilot licenses from the Port of Philadelphia",,1,"Pilot License, Mariners, Philadelphia, Lewes, Wilmington, Transportation",
180,122,Pilots and Mariners,"""The Pilot's Association"" by William G. Dorsey",1961,2,"Pilot's Association, William G. Dorsey, Mariners",
181,123,Land for Public Building (State House),"Resolution of the Kent County Levy Court to sell the ""old goal"" to the state of Delaware",1817,,"Levy Court, Kent County, goal, State House",
183,125,Andrew Holland (Plot 1889),"Xerox copy of plot survey for Andrew Holland, deceased",1889,,"Andrew Holland, Plot, Survey",
184,126,"Railway, Boston to Albany","""Report of the Board of Commissioners, for the Survey of One or More Routes for a Railway from Boston to Albany""",1828,,"Railway, Railroads, Boston, Albany, Transportation",
185,127,"Railway, Baltimore to Susquehanna","""Report and Proceedings in Relation to a Rail Road from Baltimore  to the Susquehanna""",1828,,"Railway, Railroads, Baltimore, Susquehanna, Transportation",
186,128,Steam Boats (Southern Waters),"""Report of the Practicability of Navigating with Steam Boats on the Southern Waters of the United States""",1828,,"Steam Boats, Navigation, Chesapeake, Transportation",
187,129,Brandywine Creek Canal,"""An Act to revive certain Acts in relation to the Lock Navigation of the Waters of Brandywine Creek""",1825,,Brandywine Creek Canal,
188,130,Delaware Breakwater,"Miscellaneous manuscripts, including an engineer report for the "".. Constructing A Breakwater in the Delaware Bay""",1826,,"Breakwater, Delaware Bay, Philadelphia",
189,131,"Red Cross, The American National","""Regulations for wearing the badge of the Red Cross Nursing Service""",1941,,Red Cross,
190,132,Boundaries - Kent & Sussex,"Miscellaneous manuscripts concerning the measuring and ""chaining"" of the division line between Kent and Sussex County",1824-1825,,"Boundaries, Kent, Sussex County",
191,133,Menhaden Fish Industry,"Miscellaneous pamphlets and articles concerning the Menhaden Industry in Lewes, Delaware",,,"Menhaden Fish Industry, Lewes",
192,134,Mexican War,Letter of introduction from 1st Lieutenant Joseph Hedges for James Mooney.  The letter contains information regarding James Mooney's service during the Mexican American War,1854,,"Mexican War, James Mooney, Joseph Hedges",
193,36,Wilmington - Incorporation,"Manuscript copy of the ""of an Act to Incorporate the Citizens of Wilmington""",1821,2,"Wilmington, Incorporation",Changed from Gen. Ref. #135
194,136,National Banks,Manuscripts regarding the proposed amendment to the US Constitution to establish a National Bank,1821,,"Amendment, National Bank, Constitution",
195,137,Glass Tax 1798,"Article that contains ""mis"" information regarding a Glass Tax",1989,,Glass Tax,
196,138,Deed to William Burton- From Indians,Transcript and manuscript copy of a deed between William Burton and Weatomotonies the Indian Queen,1743,1,"William Burton, Weatomotonies, Indian Deed, Worcester County",
197,138,Loan Office - General,General information concerning the Loan Office,,2,Loan Office,
198,138,Deed to John Moll - From Indians,Copy of New Castle County deed from John Moll to the Indians,1680,3,"Indian Deed, John Moll, New Castle, White Clay Creek, Christiana",
